model,arm,naming,branching,role,layer,dim,seed,rho_cond_euc,rho_hyp,delta,shuffle_rho_hyp,n_train,n_val
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,0,2,0,-0.0095,0.0157,0.0252,0.0103,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,0,3,0,-0.0095,-0.0095,0.0,0.0168,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,0,5,0,-0.0095,0.0121,0.0216,0.0123,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,0,8,0,-0.0095,0.0157,0.0252,0.0103,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,0,16,0,-0.0095,-0.0095,0.0,0.0168,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,0,2,1,0.0445,0.0445,0.0,-0.0206,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,0,3,1,0.0445,0.0445,0.0,-0.0206,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,0,5,1,0.0445,0.0722,0.0277,-0.0143,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,0,8,1,0.0445,0.0839,0.0395,-0.0206,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,0,16,1,0.0445,0.0445,0.0,-0.0206,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,0,2,2,0.0225,0.0523,0.0297,-0.0238,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,0,3,2,0.0225,0.0225,0.0,-0.0313,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,0,5,2,0.0225,0.0523,0.0297,-0.0276,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,0,8,2,0.0225,0.0225,0.0,-0.0313,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,0,16,2,0.0225,0.0523,0.0297,-0.0313,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,0,2,3,0.0242,0.0464,0.0222,0.0402,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,0,3,3,0.0242,0.0587,0.0345,0.0406,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,0,5,3,0.0242,0.0242,0.0,0.0376,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,0,8,3,0.0242,0.0464,0.0222,0.0402,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,0,16,3,0.0242,0.0242,0.0,0.0376,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,0,2,4,0.0291,0.074,0.0449,-0.0203,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,0,3,4,0.0291,0.0291,0.0,-0.0175,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,0,5,4,0.0291,0.0291,0.0,-0.0183,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,0,8,4,0.0291,0.074,0.0449,-0.0203,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,0,16,4,0.0291,0.074,0.0449,-0.0203,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,0,2,5,0.028,0.0694,0.0414,0.026,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,0,3,5,0.028,0.0694,0.0414,0.026,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,0,5,5,0.028,0.028,0.0,0.0286,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,0,8,5,0.028,0.028,0.0,0.0286,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,0,16,5,0.028,0.0835,0.0555,0.0286,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,4,2,0,0.0031,0.0229,0.0198,0.0117,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,4,3,0,-0.0048,-0.0182,-0.0134,-0.0255,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,4,5,0,-0.0305,0.0677,0.0982,0.0252,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,4,8,0,-0.0566,0.1293,0.1858,-0.0437,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,4,16,0,0.0876,0.0328,-0.0549,0.0207,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,4,2,1,-0.0378,-0.0516,-0.0139,-0.0505,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,4,3,1,-0.0107,-0.0123,-0.0017,-0.009,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,4,5,1,-0.0448,0.0584,0.1031,-0.036,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,4,8,1,-0.0478,0.117,0.1648,-0.0249,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,4,16,1,-0.0029,0.0875,0.0904,-0.033,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,4,2,2,-0.0105,0.0697,0.0803,0.0096,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,4,3,2,0.0347,0.0331,-0.0016,0.0074,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,4,5,2,0.02,0.0413,0.0214,0.025,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,4,8,2,-0.0068,0.0972,0.104,-0.0215,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,4,16,2,0.0569,0.129,0.0721,0.0161,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,4,2,3,0.0049,0.02,0.0151,0.022,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,4,3,3,0.0328,0.0061,-0.0267,0.0037,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,4,5,3,-0.0155,0.0879,0.1034,-0.0442,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,4,8,3,-0.0018,0.0916,0.0934,-0.0208,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,4,16,3,0.0874,0.0954,0.008,-0.0362,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,4,2,4,0.0013,0.0165,0.0151,0.0317,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,4,3,4,-0.0134,0.0297,0.0431,0.0094,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,4,5,4,0.0068,0.0306,0.0238,-0.0367,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,4,8,4,0.0008,0.0842,0.0834,-0.0017,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,4,16,4,0.0367,0.0251,-0.0116,-0.0086,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,4,2,5,-0.0143,0.0363,0.0505,-0.0418,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,4,3,5,-0.0037,0.0558,0.0595,-0.0193,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,4,5,5,0.0107,0.0996,0.0889,-0.0004,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,4,8,5,0.0263,0.1219,0.0957,0.0179,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,4,16,5,0.0951,0.0527,-0.0424,-0.0104,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,8,2,0,0.0625,-0.0174,-0.0799,0.0091,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,8,3,0,-0.0322,-0.0062,0.0261,0.0262,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,8,5,0,-0.0221,0.0646,0.0867,0.016,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,8,8,0,0.0279,0.1262,0.0982,-0.0087,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,8,16,0,0.0651,0.0684,0.0033,0.0299,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,8,2,1,-0.03,0.0031,0.0331,-0.0141,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,8,3,1,-0.0434,0.076,0.1194,0.0155,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,8,5,1,0.003,0.0683,0.0654,-0.0129,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,8,8,1,0.0363,0.1122,0.076,-0.0468,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,8,16,1,0.0743,0.1012,0.027,0.0053,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,8,2,2,0.0017,0.0114,0.0097,-0.0097,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,8,3,2,0.0395,0.0412,0.0017,-0.0092,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,8,5,2,-0.0099,0.074,0.084,0.0124,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,8,8,2,0.0244,0.0793,0.0549,-0.0021,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,8,16,2,0.0299,0.1183,0.0884,-0.0338,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,8,2,3,-0.0321,-0.0174,0.0147,-0.0138,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,8,3,3,0.0071,0.0319,0.0248,0.0267,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,8,5,3,0.017,0.0349,0.0179,0.0256,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,8,8,3,0.0115,0.128,0.1165,-0.0117,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,8,16,3,0.0762,0.0004,-0.0758,0.0139,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,8,2,4,0.0171,0.0021,-0.015,-0.0191,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,8,3,4,-0.0073,-0.0011,0.0063,-0.0044,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,8,5,4,0.0221,0.0316,0.0095,-0.0489,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,8,8,4,0.0457,0.0835,0.0378,-0.0103,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,8,16,4,0.0205,0.0559,0.0353,-0.006,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,8,2,5,-0.0057,0.0132,0.0189,0.0004,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,8,3,5,0.0111,-0.0116,-0.0227,0.007,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,8,5,5,-0.004,0.1308,0.1348,0.0422,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,8,8,5,0.0733,0.1491,0.0757,-0.0118,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,8,16,5,0.0299,0.1516,0.1217,0.0051,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,12,2,0,0.0057,0.0328,0.0271,0.0429,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,12,3,0,0.0553,0.0155,-0.0397,0.0478,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,12,5,0,0.0182,0.0824,0.0642,0.0053,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,12,8,0,0.0222,0.1352,0.113,0.0142,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,12,16,0,0.0963,0.1528,0.0565,-0.0161,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,12,2,1,0.0253,0.0334,0.0081,-0.0058,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,12,3,1,0.0216,0.0627,0.0411,0.0038,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,12,5,1,0.0109,0.1319,0.121,-0.0013,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,12,8,1,0.0603,0.1785,0.1182,-0.0048,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,12,16,1,0.069,0.0473,-0.0216,-0.0254,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,12,2,2,-0.0096,0.0264,0.036,0.0058,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,12,3,2,-0.0002,0.0642,0.0643,0.0066,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,12,5,2,0.0349,0.117,0.0821,0.013,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,12,8,2,0.0303,0.1189,0.0886,-0.0428,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,12,16,2,0.08,0.0471,-0.0329,0.0191,42,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,12,2,3,0.0036,-0.0466,-0.0502,-0.0244,42,18
