model,arm,naming,branching,role,layer,radial_depth_rho,radial_depth_absrho,n_prompts
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,0,0.471,0.471,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,4,0.0048,0.1821,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,8,0.0754,0.2123,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,12,0.0468,0.2524,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,16,0.0506,0.2065,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,20,0.1526,0.2562,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,24,0.1615,0.294,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,premise,28,-0.0222,0.2198,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,last,0,0.471,0.471,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,last,4,0.0071,0.1845,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,last,8,0.0812,0.2355,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,last,12,0.0246,0.2504,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,last,16,0.0185,0.1887,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,last,20,0.1355,0.2296,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,last,24,0.1004,0.2028,18
Qwen/Qwen2.5-7B,fictional_b1,fictional,1,last,28,-0.0631,0.1774,18
Qwen/Qwen2.5-7B,fictional_b2,fictional,2,premise,0,0.5105,0.5105,18
Qwen/Qwen2.5-7B,fictional_b2,fictional,2,premise,4,0.0296,0.2343,18
Qwen/Qwen2.5-7B,fictional_b2,fictional,2,premise,8,0.599,0.599,18
Qwen/Qwen2.5-7B,fictional_b2,fictional,2,premise,12,0.4325,0.4325,18
Qwen/Qwen2.5-7B,fictional_b2,fictional,2,premise,16,0.3808,0.4105,18
Qwen/Qwen2.5-7B,fictional_b2,fictional,2,premise,20,0.6857,0.6857,18
Qwen/Qwen2.5-7B,fictional_b2,fictional,2,premise,24,0.4113,0.4133,18
Qwen/Qwen2.5-7B,fictional_b2,fictional,2,premise,28,0.2466,0.3629,18
Qwen/Qwen2.5-7B,fictional_b2,fictional,2,last,0,0.5105,0.5105,18
Qwen/Qwen2.5-7B,fictional_b2,fictional,2,last,4,0.0355,0.2296,18
Qwen/Qwen2.5-7B,fictional_b2,fictional,2,last,8,0.5895,0.5895,18
Qwen/Qwen2.5-7B,fictional_b2,fictional,2,last,12,0.4109,0.4228,18
Qwen/Qwen2.5-7B,fictional_b2,fictional,2,last,16,0.3589,0.3919,18
