model,arm,naming,branching,role,layer,radial_depth_rho,radial_depth_absrho,n_prompts
mistralai/Mistral-7B-v0.3,fictional_b1,fictional,1,premise,0,0.5355,0.5355,18
mistralai/Mistral-7B-v0.3,fictional_b1,fictional,1,premise,4,-0.0411,0.2077,18
mistralai/Mistral-7B-v0.3,fictional_b1,fictional,1,premise,8,-0.0187,0.2333,18
mistralai/Mistral-7B-v0.3,fictional_b1,fictional,1,premise,12,-0.0268,0.22,18
mistralai/Mistral-7B-v0.3,fictional_b1,fictional,1,premise,16,-0.0185,0.2177,18
mistralai/Mistral-7B-v0.3,fictional_b1,fictional,1,premise,20,0.1238,0.2393,18
mistralai/Mistral-7B-v0.3,fictional_b1,fictional,1,premise,24,0.196,0.2627,18
mistralai/Mistral-7B-v0.3,fictional_b1,fictional,1,premise,28,0.2048,0.294,18
mistralai/Mistral-7B-v0.3,fictional_b1,fictional,1,premise,32,0.1641,0.226,18
mistralai/Mistral-7B-v0.3,fictional_b1,fictional,1,last,0,0.5355,0.5355,18
mistralai/Mistral-7B-v0.3,fictional_b1,fictional,1,last,4,-0.046,0.2008,18
mistralai/Mistral-7B-v0.3,fictional_b1,fictional,1,last,8,-0.0254,0.2619,18
mistralai/Mistral-7B-v0.3,fictional_b1,fictional,1,last,12,0.0121,0.222,18
mistralai/Mistral-7B-v0.3,fictional_b1,fictional,1,last,16,-0.0587,0.2183,18
mistralai/Mistral-7B-v0.3,fictional_b1,fictional,1,last,20,0.1028,0.2179,18
mistralai/Mistral-7B-v0.3,fictional_b1,fictional,1,last,24,0.1766,0.2075,18
mistralai/Mistral-7B-v0.3,fictional_b1,fictional,1,last,28,0.1629,0.2149,18
mistralai/Mistral-7B-v0.3,fictional_b1,fictional,1,last,32,0.1425,0.2056,18
mistralai/Mistral-7B-v0.3,fictional_b2,fictional,2,premise,0,0.4696,0.4696,18
mistralai/Mistral-7B-v0.3,fictional_b2,fictional,2,premise,4,-0.1766,0.2099,18
mistralai/Mistral-7B-v0.3,fictional_b2,fictional,2,premise,8,0.2611,0.2917,18
mistralai/Mistral-7B-v0.3,fictional_b2,fictional,2,premise,12,0.472,0.472,18
mistralai/Mistral-7B-v0.3,fictional_b2,fictional,2,premise,16,0.2976,0.3206,18
mistralai/Mistral-7B-v0.3,fictional_b2,fictional,2,premise,20,0.7331,0.7331,18
mistralai/Mistral-7B-v0.3,fictional_b2,fictional,2,premise,24,0.6817,0.6817,18
mistralai/Mistral-7B-v0.3,fictional_b2,fictional,2,premise,28,0.5649,0.5649,18
mistralai/Mistral-7B-v0.3,fictional_b2,fictional,2,premise,32,0.5895,0.5895,18
mistralai/Mistral-7B-v0.3,fictional_b2,fictional,2,last,0,0.4696,0.4696,18
mistralai/Mistral-7B-v0.3,fictional_b2,fictional,2,last,4,-0.1558,0.2026,18
mistralai/Mistral-7B-v0.3,fictional_b2,fictional,2,last,8,0.2474,0.3054,18
mistralai/Mistral-7B-v0.3,fictional_b2,fictional,2,last,12,0.4623,0.4623,18
mistralai/Mistral-7B-v0.3,fictional_b2,fictional,2,last,16,0.2847,0.3062,18
mistralai/Mistral-7B-v0.3,fictional_b2,fictional,2,last,20,0.7226,0.7226,18
mistralai/Mistral-7B-v0.3,fictional_b2,fictional,2,last,24,0.6232,0.6232,18
mistralai/Mistral-7B-v0.3,fictional_b2,fictional,2,last,28,0.4905,0.4905,18
mistralai/Mistral-7B-v0.3,fictional_b2,fictional,2,last,32,0.556,0.556,18
mistralai/Mistral-7B-v0.3,fictional_b3,fictional,3,premise,0,0.4754,0.4754,18
mistralai/Mistral-7B-v0.3,fictional_b3,fictional,3,premise,4,-0.2024,0.2321,18
mistralai/Mistral-7B-v0.3,fictional_b3,fictional,3,premise,8,0.0956,0.1821,18
mistralai/Mistral-7B-v0.3,fictional_b3,fictional,3,premise,12,0.4373,0.454,18
mistralai/Mistral-7B-v0.3,fictional_b3,fictional,3,premise,16,0.274,0.3113,18
mistralai/Mistral-7B-v0.3,fictional_b3,fictional,3,premise,20,0.5909,0.5909,18
mistralai/Mistral-7B-v0.3,fictional_b3,fictional,3,premise,24,0.5119,0.5119,18
mistralai/Mistral-7B-v0.3,fictional_b3,fictional,3,premise,28,0.4002,0.4002,18
mistralai/Mistral-7B-v0.3,fictional_b3,fictional,3,premise,32,0.4433,0.4631,18
mistralai/Mistral-7B-v0.3,fictional_b3,fictional,3,last,0,0.4754,0.4754,18
mistralai/Mistral-7B-v0.3,fictional_b3,fictional,3,last,4,-0.1956,0.2337,18
mistralai/Mistral-7B-v0.3,fictional_b3,fictional,3,last,8,0.1169,0.2042,18
mistralai/Mistral-7B-v0.3,fictional_b3,fictional,3,last,12,0.4423,0.4637,18
mistralai/Mistral-7B-v0.3,fictional_b3,fictional,3,last,16,0.2431,0.2724,18
mistralai/Mistral-7B-v0.3,fictional_b3,fictional,3,last,20,0.5893,0.5893,18
mistralai/Mistral-7B-v0.3,fictional_b3,fictional,3,last,24,0.4702,0.4702,18
mistralai/Mistral-7B-v0.3,fictional_b3,fictional,3,last,28,0.3379,0.3427,18
mistralai/Mistral-7B-v0.3,fictional_b3,fictional,3,last,32,0.4099,0.4282,18
mistralai/Mistral-7B-v0.3,real_b2,real,2,premise,0,0.0841,0.181,18
mistralai/Mistral-7B-v0.3,real_b2,real,2,premise,4,0.6002,0.6002,18
mistralai/Mistral-7B-v0.3,real_b2,real,2,premise,8,0.3177,0.3347,18
mistralai/Mistral-7B-v0.3,real_b2,real,2,premise,12,0.3502,0.3681,18
mistralai/Mistral-7B-v0.3,real_b2,real,2,premise,16,0.2133,0.2636,18
mistralai/Mistral-7B-v0.3,real_b2,real,2,premise,20,0.5126,0.5126,18
mistralai/Mistral-7B-v0.3,real_b2,real,2,premise,24,0.5612,0.5612,18
mistralai/Mistral-7B-v0.3,real_b2,real,2,premise,28,0.4765,0.4765,18
mistralai/Mistral-7B-v0.3,real_b2,real,2,premise,32,0.4654,0.4654,18
mistralai/Mistral-7B-v0.3,real_b2,real,2,last,0,0.0841,0.181,18
mistralai/Mistral-7B-v0.3,real_b2,real,2,last,4,0.6057,0.6057,18
mistralai/Mistral-7B-v0.3,real_b2,real,2,last,8,0.3151,0.3369,18
mistralai/Mistral-7B-v0.3,real_b2,real,2,last,12,0.3291,0.3601,18
mistralai/Mistral-7B-v0.3,real_b2,real,2,last,16,0.1337,0.2276,18
mistralai/Mistral-7B-v0.3,real_b2,real,2,last,20,0.5185,0.5185,18
mistralai/Mistral-7B-v0.3,real_b2,real,2,last,24,0.574,0.574,18
