model,arm,naming,branching,role,layer,dim,seed,rho_cond_euc,rho_hyp,delta,shuffle_rho_hyp,n_train,n_val
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,0,2,0,-0.0812,-0.0812,0.0,0.0461,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,0,3,0,-0.0812,-0.0812,0.0,0.0461,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,0,5,0,-0.0812,-0.0812,0.0,0.0461,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,0,8,0,-0.0812,-0.0812,0.0,0.0461,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,0,16,0,-0.0812,-0.0812,0.0,0.0461,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,0,2,1,-0.0839,-0.0839,0.0,0.0149,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,0,3,1,-0.0839,-0.0635,0.0204,0.0087,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,0,5,1,-0.0839,-0.0636,0.0203,0.0129,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,0,8,1,-0.0839,-0.0839,0.0,0.0149,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,0,16,1,-0.0839,-0.0635,0.0204,0.0129,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,0,2,2,-0.058,-0.058,0.0,0.0166,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,0,3,2,-0.058,-0.058,0.0,0.0166,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,0,5,2,-0.058,-0.0425,0.0155,0.0128,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,0,8,2,-0.058,-0.058,0.0,0.0166,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,0,16,2,-0.058,-0.058,0.0,0.0178,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,0,2,3,-0.0624,-0.0624,0.0,0.0362,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,0,3,3,-0.0624,-0.0445,0.0179,0.0453,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,0,5,3,-0.0624,-0.0445,0.0179,0.0453,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,0,8,3,-0.0624,-0.0348,0.0276,0.0362,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,0,16,3,-0.0624,-0.0348,0.0276,0.0377,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,0,2,4,-0.0458,-0.0458,0.0,0.0321,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,0,3,4,-0.0458,-0.0458,0.0,0.0321,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,0,5,4,-0.0458,-0.0458,0.0,0.0321,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,0,8,4,-0.0458,-0.0458,0.0,0.0377,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,0,16,4,-0.0458,-0.0458,0.0,0.0321,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,0,2,5,-0.0691,-0.054,0.0151,-0.0081,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,0,3,5,-0.0691,-0.0691,0.0,-0.0068,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,0,5,5,-0.0691,-0.054,0.0151,-0.0081,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,0,8,5,-0.0691,-0.0691,0.0,-0.0163,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,0,16,5,-0.0691,-0.0691,0.0,-0.0163,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,4,2,0,0.011,0.1084,0.0973,-0.0333,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,4,3,0,0.0644,0.1286,0.0642,-0.0527,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,4,5,0,0.0798,0.1516,0.0718,-0.0131,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,4,8,0,0.1145,0.0939,-0.0207,-0.0233,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,4,16,0,0.1813,0.0358,-0.1455,-0.0404,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,4,2,1,-0.0395,0.0482,0.0877,-0.0012,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,4,3,1,0.034,0.1352,0.1013,0.0017,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,4,5,1,0.0584,0.2217,0.1633,0.0004,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,4,8,1,0.0711,0.2571,0.186,0.0062,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,4,16,1,0.164,0.0692,-0.0948,0.0582,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,4,2,2,0.0208,0.1038,0.083,-0.0263,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,4,3,2,0.042,0.1763,0.1344,0.0095,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,4,5,2,0.0829,0.1637,0.0808,0.0176,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,4,8,2,0.1029,0.1955,0.0926,0.0102,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,4,16,2,0.2255,0.1738,-0.0517,0.0307,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,4,2,3,0.0115,0.0983,0.0867,0.0001,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,4,3,3,0.0476,0.1215,0.0739,0.0397,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,4,5,3,0.0744,0.1958,0.1214,0.0016,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,4,8,3,0.1431,0.1874,0.0442,-0.02,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,4,16,3,0.1989,0.1164,-0.0825,-0.0197,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,4,2,4,0.0312,0.0394,0.0081,0.0319,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,4,3,4,0.0048,0.1165,0.1117,-0.0523,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,4,5,4,0.0699,0.1891,0.1191,-0.0105,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,4,8,4,0.0909,0.2326,0.1417,-0.0118,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,4,16,4,0.196,0.2468,0.0508,-0.0258,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,4,2,5,0.0049,0.083,0.0782,-0.0016,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,4,3,5,0.0093,0.1269,0.1177,-0.0031,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,4,5,5,0.059,0.1837,0.1247,-0.0482,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,4,8,5,0.1303,0.2465,0.1162,-0.0451,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,4,16,5,0.2216,0.0881,-0.1334,-0.0406,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,2,0,0.0593,0.1042,0.0449,-0.0185,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,3,0,0.0689,0.2028,0.1339,-0.0272,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,5,0,0.1348,0.2923,0.1576,-0.056,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,8,0,0.1885,0.2577,0.0692,-0.0303,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,16,0,0.2493,0.3003,0.051,-0.0122,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,2,1,0.0268,0.087,0.0602,-0.0312,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,3,1,0.0634,0.1761,0.1127,-0.0417,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,5,1,0.1084,0.2319,0.1235,0.0314,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,8,1,0.1228,0.2373,0.1145,0.0483,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,16,1,0.2489,0.2555,0.0066,0.031,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,2,2,0.0579,0.1053,0.0474,-0.0148,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,3,2,0.0686,0.1754,0.1067,-0.0007,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,5,2,0.0884,0.261,0.1726,0.01,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,8,2,0.1928,0.3048,0.112,0.0204,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,16,2,0.2904,0.2021,-0.0884,-0.0108,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,2,3,0.0104,0.1349,0.1245,-0.0315,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,3,3,0.033,0.2294,0.1963,0.0059,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,5,3,0.1469,0.2949,0.148,0.0192,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,8,3,0.1595,0.1543,-0.0053,-0.0208,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,16,3,0.2322,0.2012,-0.031,-0.0398,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,2,4,0.0585,0.1366,0.0781,0.0168,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,3,4,0.0237,0.2033,0.1796,-0.0178,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,5,4,0.0807,0.2583,0.1776,0.0653,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,8,4,0.2015,0.3049,0.1034,0.0615,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,16,4,0.2749,0.3577,0.0828,-0.0051,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,2,5,0.0671,0.1168,0.0497,-0.017,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,3,5,0.0896,0.1371,0.0475,-0.0516,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,5,5,0.0572,0.25,0.1928,-0.0208,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,8,5,0.1267,0.2837,0.157,-0.0319,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,16,5,0.2565,0.366,0.1095,-0.0388,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,12,2,0,0.0216,0.1002,0.0786,-0.0022,42,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,12,3,0,0.0791,0.1591,0.08,-0.0315,42,18
