model,arm,naming,branching,role,layer,dim,seed,rho_cond_euc,rho_hyp,delta,shuffle_rho_hyp,n_train,n_val
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,0,2,0,-0.0095,-0.0095,0.0,0.0168,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,0,3,0,-0.0095,-0.0095,0.0,0.0168,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,0,5,0,-0.0095,-0.0095,0.0,0.0168,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,0,8,0,-0.0095,0.0157,0.0252,0.0103,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,0,16,0,-0.0095,-0.0095,0.0,0.0103,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,0,2,1,0.0445,0.0445,0.0,-0.0206,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,0,3,1,0.0445,0.0445,0.0,-0.0206,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,0,5,1,0.0445,0.0445,0.0,-0.0206,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,0,8,1,0.0445,0.0839,0.0395,-0.0143,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,0,16,1,0.0445,0.0445,0.0,-0.0058,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,0,2,2,0.0225,0.0225,0.0,-0.0313,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,0,3,2,0.0225,0.0225,0.0,-0.0313,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,0,5,2,0.0225,0.0225,0.0,-0.0313,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,0,8,2,0.0225,0.0523,0.0297,-0.0276,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,0,16,2,0.0225,0.0523,0.0297,-0.0313,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,0,2,3,0.0242,0.0242,0.0,0.0376,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,0,3,3,0.0242,0.0242,0.0,0.0376,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,0,5,3,0.0242,0.0242,0.0,0.0376,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,0,8,3,0.0242,0.0242,0.0,0.0376,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,0,16,3,0.0242,0.0242,0.0,0.0376,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,0,2,4,0.0291,0.074,0.0449,-0.0183,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,0,3,4,0.0291,0.0291,0.0,-0.0175,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,0,5,4,0.0291,0.0291,0.0,-0.0175,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,0,8,4,0.0291,0.0291,0.0,-0.0203,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,0,16,4,0.0291,0.074,0.0449,-0.0183,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,0,2,5,0.028,0.0835,0.0555,0.0272,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,0,3,5,0.028,0.028,0.0,0.0286,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,0,5,5,0.028,0.028,0.0,0.0286,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,0,8,5,0.028,0.0496,0.0216,0.0285,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,0,16,5,0.028,0.0835,0.0555,0.0272,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,4,2,0,0.0516,0.0176,-0.0339,0.011,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,4,3,0,0.0161,0.0553,0.0391,-0.0094,42,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,4,5,0,-0.0086,0.0567,0.0653,0.0165,42,18
