model,arm,naming,branching,role,layer,radial_depth_rho,radial_depth_absrho,n_prompts
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,premise,0,0.5484,0.5484,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,premise,4,0.0546,0.2188,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,premise,8,-0.1621,0.1974,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,premise,12,-0.0726,0.248,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,premise,16,0.0437,0.221,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,premise,20,-0.0512,0.1817,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,premise,24,0.1669,0.2153,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,premise,28,0.1494,0.245,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,premise,32,0.1313,0.2079,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,premise,36,0.1234,0.2024,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,last,0,0.5484,0.5484,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,last,4,0.0627,0.2079,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,last,8,-0.1575,0.2099,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,last,12,-0.0655,0.2429,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,last,16,0.0573,0.2502,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,last,20,-0.0538,0.1692,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,last,24,0.1202,0.1992,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,last,28,0.1312,0.2331,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,last,32,0.1315,0.2026,18
Qwen/Qwen2.5-3B,fictional_b1,fictional,1,last,36,0.1417,0.223,18
Qwen/Qwen2.5-3B,fictional_b2,fictional,2,premise,0,0.5254,0.5254,18
Qwen/Qwen2.5-3B,fictional_b2,fictional,2,premise,4,-0.0208,0.2351,18
Qwen/Qwen2.5-3B,fictional_b2,fictional,2,premise,8,0.2347,0.2994,18
Qwen/Qwen2.5-3B,fictional_b2,fictional,2,premise,12,0.6048,0.6087,18
Qwen/Qwen2.5-3B,fictional_b2,fictional,2,premise,16,0.6925,0.6925,18
Qwen/Qwen2.5-3B,fictional_b2,fictional,2,premise,20,0.3228,0.3621,18
