model,dataset,target,layer,seed,arm,whitened,rho,distortion,epochs_trained,best_epoch
Qwen/Qwen2.5-7B,prontoqa,depth,0,0,bare_euclidean,True,0.1623,1.1291,550,250
Qwen/Qwen2.5-7B,prontoqa,depth,0,0,cond_euclidean,True,0.167,1.1291,600,300
Qwen/Qwen2.5-7B,prontoqa,depth,0,0,hyperbolic,True,0.162,1.1291,600,300
Qwen/Qwen2.5-7B,prontoqa,depth,0,1,bare_euclidean,True,0.1339,1.2277,350,50
Qwen/Qwen2.5-7B,prontoqa,depth,0,1,cond_euclidean,True,0.1405,1.2277,550,250
Qwen/Qwen2.5-7B,prontoqa,depth,0,1,hyperbolic,True,0.1173,1.2277,600,300
Qwen/Qwen2.5-7B,prontoqa,depth,0,2,bare_euclidean,True,-0.0391,1.2147,450,150
Qwen/Qwen2.5-7B,prontoqa,depth,0,2,cond_euclidean,True,-0.033,1.2147,600,300
Qwen/Qwen2.5-7B,prontoqa,depth,0,2,hyperbolic,True,-0.0278,1.2147,700,400
Qwen/Qwen2.5-7B,prontoqa,depth,0,3,bare_euclidean,True,0.1223,1.2083,1050,750
Qwen/Qwen2.5-7B,prontoqa,depth,0,3,cond_euclidean,True,0.1474,1.2083,650,350
Qwen/Qwen2.5-7B,prontoqa,depth,0,3,hyperbolic,True,0.1351,1.2083,550,250
Qwen/Qwen2.5-7B,prontoqa,depth,0,4,bare_euclidean,True,-0.0094,844.032,350,50
Qwen/Qwen2.5-7B,prontoqa,depth,0,4,cond_euclidean,True,-0.0816,1.3947,600,300
Qwen/Qwen2.5-7B,prontoqa,depth,0,4,hyperbolic,True,-0.0323,1.369,500,200
Qwen/Qwen2.5-7B,prontoqa,depth,7,0,bare_euclidean,True,0.5128,0.8256,350,50
Qwen/Qwen2.5-7B,prontoqa,depth,7,0,cond_euclidean,True,0.4983,0.8158,700,400
Qwen/Qwen2.5-7B,prontoqa,depth,7,0,hyperbolic,True,0.4877,0.8352,350,50
Qwen/Qwen2.5-7B,prontoqa,depth,7,1,bare_euclidean,True,0.6369,0.7884,400,100
Qwen/Qwen2.5-7B,prontoqa,depth,7,1,cond_euclidean,True,0.7371,0.6323,1650,1350
Qwen/Qwen2.5-7B,prontoqa,depth,7,1,hyperbolic,True,0.7411,0.6442,700,400
Qwen/Qwen2.5-7B,prontoqa,depth,7,2,bare_euclidean,True,0.6552,0.6803,350,50
Qwen/Qwen2.5-7B,prontoqa,depth,7,2,cond_euclidean,True,0.6341,0.6648,400,100
Qwen/Qwen2.5-7B,prontoqa,depth,7,2,hyperbolic,True,0.5879,0.7193,650,350
Qwen/Qwen2.5-7B,prontoqa,depth,7,3,bare_euclidean,True,0.6899,0.7441,450,150
Qwen/Qwen2.5-7B,prontoqa,depth,7,3,cond_euclidean,True,0.7275,0.6415,500,200
Qwen/Qwen2.5-7B,prontoqa,depth,7,3,hyperbolic,True,0.7098,0.6585,350,50
Qwen/Qwen2.5-7B,prontoqa,depth,7,4,bare_euclidean,True,0.6929,0.79,400,100
Qwen/Qwen2.5-7B,prontoqa,depth,7,4,cond_euclidean,True,0.7718,0.6365,1650,1350
Qwen/Qwen2.5-7B,prontoqa,depth,7,4,hyperbolic,True,0.8047,0.5669,1150,850
Qwen/Qwen2.5-7B,prontoqa,depth,14,0,bare_euclidean,True,0.4254,0.8123,450,150
Qwen/Qwen2.5-7B,prontoqa,depth,14,0,cond_euclidean,True,0.6272,0.6804,750,450
Qwen/Qwen2.5-7B,prontoqa,depth,14,0,hyperbolic,True,0.4856,0.7681,350,50
Qwen/Qwen2.5-7B,prontoqa,depth,14,1,bare_euclidean,True,0.6975,0.6846,400,100
Qwen/Qwen2.5-7B,prontoqa,depth,14,1,cond_euclidean,True,0.775,0.5992,1050,750
Qwen/Qwen2.5-7B,prontoqa,depth,14,1,hyperbolic,True,0.7266,0.6491,800,500
Qwen/Qwen2.5-7B,prontoqa,depth,14,2,bare_euclidean,True,0.7024,0.6282,800,500
Qwen/Qwen2.5-7B,prontoqa,depth,14,2,cond_euclidean,True,0.6031,0.7224,400,100
Qwen/Qwen2.5-7B,prontoqa,depth,14,2,hyperbolic,True,0.529,0.7747,350,50
Qwen/Qwen2.5-7B,prontoqa,depth,14,3,bare_euclidean,True,0.6698,0.8074,450,150
Qwen/Qwen2.5-7B,prontoqa,depth,14,3,cond_euclidean,True,0.5729,0.8394,750,450
Qwen/Qwen2.5-7B,prontoqa,depth,14,3,hyperbolic,True,0.5169,0.8924,400,100
Qwen/Qwen2.5-7B,prontoqa,depth,14,4,bare_euclidean,True,0.6972,0.8493,400,100
Qwen/Qwen2.5-7B,prontoqa,depth,14,4,cond_euclidean,True,0.7731,0.6224,600,300
Qwen/Qwen2.5-7B,prontoqa,depth,14,4,hyperbolic,True,0.8032,0.5883,850,550
Qwen/Qwen2.5-7B,prontoqa,depth,21,0,bare_euclidean,True,0.7359,0.5701,550,250
Qwen/Qwen2.5-7B,prontoqa,depth,21,0,cond_euclidean,True,0.7402,0.584,800,500
Qwen/Qwen2.5-7B,prontoqa,depth,21,0,hyperbolic,True,0.811,0.4953,1200,900
Qwen/Qwen2.5-7B,prontoqa,depth,21,1,bare_euclidean,True,0.6365,0.7666,350,50
Qwen/Qwen2.5-7B,prontoqa,depth,21,1,cond_euclidean,True,0.6747,0.7156,500,200
Qwen/Qwen2.5-7B,prontoqa,depth,21,1,hyperbolic,True,0.6802,0.7091,850,550
Qwen/Qwen2.5-7B,prontoqa,depth,21,2,bare_euclidean,True,0.7298,0.624,500,200
Qwen/Qwen2.5-7B,prontoqa,depth,21,2,cond_euclidean,True,0.6537,0.6919,500,200
Qwen/Qwen2.5-7B,prontoqa,depth,21,2,hyperbolic,True,0.561,0.7902,350,50
Qwen/Qwen2.5-7B,prontoqa,depth,21,3,bare_euclidean,True,0.7042,0.7538,400,100
Qwen/Qwen2.5-7B,prontoqa,depth,21,3,cond_euclidean,True,0.6671,0.6761,350,50
Qwen/Qwen2.5-7B,prontoqa,depth,21,3,hyperbolic,True,0.5659,0.754,350,50
Qwen/Qwen2.5-7B,prontoqa,depth,21,4,bare_euclidean,True,0.7738,0.6707,400,100
Qwen/Qwen2.5-7B,prontoqa,depth,21,4,cond_euclidean,True,0.8352,0.4982,550,250
Qwen/Qwen2.5-7B,prontoqa,depth,21,4,hyperbolic,True,0.8177,0.5374,350,50
Qwen/Qwen2.5-7B,prontoqa,depth,27,0,bare_euclidean,True,0.5099,0.7918,600,300
Qwen/Qwen2.5-7B,prontoqa,depth,27,0,cond_euclidean,True,0.6035,0.8225,500,200
Qwen/Qwen2.5-7B,prontoqa,depth,27,0,hyperbolic,True,0.5753,0.8422,350,50
Qwen/Qwen2.5-7B,prontoqa,depth,27,1,bare_euclidean,True,0.5363,0.8252,350,50
Qwen/Qwen2.5-7B,prontoqa,depth,27,1,cond_euclidean,True,0.5291,0.8543,600,300
Qwen/Qwen2.5-7B,prontoqa,depth,27,1,hyperbolic,True,0.5364,0.8639,400,100
Qwen/Qwen2.5-7B,prontoqa,depth,27,2,bare_euclidean,True,0.3731,0.9494,350,50
Qwen/Qwen2.5-7B,prontoqa,depth,27,2,cond_euclidean,True,0.3258,0.9836,350,50
Qwen/Qwen2.5-7B,prontoqa,depth,27,2,hyperbolic,True,0.3359,1.0211,350,50
Qwen/Qwen2.5-7B,prontoqa,depth,27,3,bare_euclidean,True,0.5073,0.916,400,100
Qwen/Qwen2.5-7B,prontoqa,depth,27,3,cond_euclidean,True,0.4997,0.9181,1050,750
Qwen/Qwen2.5-7B,prontoqa,depth,27,3,hyperbolic,True,0.4624,0.9642,350,50
Qwen/Qwen2.5-7B,prontoqa,depth,27,4,bare_euclidean,True,0.6746,0.7523,350,50
Qwen/Qwen2.5-7B,prontoqa,depth,27,4,cond_euclidean,True,0.6824,0.7283,400,100
Qwen/Qwen2.5-7B,prontoqa,depth,27,4,hyperbolic,True,0.6144,0.7928,350,50
Qwen/Qwen2.5-7B,prontoqa,depth,28,0,bare_euclidean,True,0.6728,0.6519,450,150
Qwen/Qwen2.5-7B,prontoqa,depth,28,0,cond_euclidean,True,0.6179,0.7522,550,250
Qwen/Qwen2.5-7B,prontoqa,depth,28,0,hyperbolic,True,0.6463,0.6871,400,100
Qwen/Qwen2.5-7B,prontoqa,depth,28,1,bare_euclidean,True,0.6395,0.7309,400,100
Qwen/Qwen2.5-7B,prontoqa,depth,28,1,cond_euclidean,True,0.7053,0.6549,450,150
Qwen/Qwen2.5-7B,prontoqa,depth,28,1,hyperbolic,True,0.685,0.6785,350,50
Qwen/Qwen2.5-7B,prontoqa,depth,28,2,bare_euclidean,True,0.5112,0.8236,500,200
Qwen/Qwen2.5-7B,prontoqa,depth,28,2,cond_euclidean,True,0.6487,0.7226,450,150
Qwen/Qwen2.5-7B,prontoqa,depth,28,2,hyperbolic,True,0.5737,0.8491,600,300
Qwen/Qwen2.5-7B,prontoqa,depth,28,3,bare_euclidean,True,0.6102,0.7978,400,100
