model,dataset,layer,token_source,metric,delta_data,delta_flat,delta_tree,delta_cluster,span,score,excess_over_cluster,noise_floor,n,dim
Qwen/Qwen2.5-7B,prontoqa,0,input,raw,0.2483,0.0329,0.0748,0.1152,-0.042,,-0.1331,0.0118,100,3584
Qwen/Qwen2.5-7B,prontoqa,0,input,pca_only,0.2483,0.2167,0.0745,0.1708,0.1422,-0.2225,-0.0774,0.0118,100,3584
Qwen/Qwen2.5-7B,prontoqa,0,input,per_cloud,0.2351,0.2168,0.1122,0.1751,0.1045,-0.1755,-0.06,0.0037,100,3584
Qwen/Qwen2.5-7B,prontoqa,0,input,background,0.2494,0.1833,0.0877,0.1803,0.0956,-0.691,-0.0691,0.006,100,3584
Qwen/Qwen2.5-7B,prontoqa,0,generated,raw,0.2182,0.0329,0.0748,0.0356,-0.042,,-0.1826,0.0103,100,3584
Qwen/Qwen2.5-7B,prontoqa,0,generated,pca_only,0.2289,0.2167,0.0745,0.1176,0.1422,-0.0861,-0.1113,0.0114,100,3584
Qwen/Qwen2.5-7B,prontoqa,0,generated,per_cloud,0.1894,0.2168,0.1122,0.1336,0.1045,0.2614,-0.0558,0.0046,100,3584
Qwen/Qwen2.5-7B,prontoqa,0,generated,background,0.0985,0.1833,0.0877,0.1708,0.0956,0.8868,0.0723,0.0077,100,3584
Qwen/Qwen2.5-7B,prontoqa,0,thinking,raw,0.2248,0.0322,0.0761,0.0443,-0.0439,,-0.1804,0.0174,91,3584
Qwen/Qwen2.5-7B,prontoqa,0,thinking,pca_only,0.2248,0.2268,0.0758,0.1476,0.151,0.0134,-0.0772,0.0174,91,3584
Qwen/Qwen2.5-7B,prontoqa,0,thinking,per_cloud,0.1522,0.2276,0.1002,0.1317,0.1273,0.5917,-0.0205,0.0117,91,3584
Qwen/Qwen2.5-7B,prontoqa,0,thinking,background,0.0211,0.1853,0.0873,0.1598,0.098,1.6751,0.1387,0.0291,91,3584
Qwen/Qwen2.5-7B,prontoqa,0,last,raw,0.0987,0.0329,0.0748,0.051,-0.042,,-0.0477,0.0253,100,3584
Qwen/Qwen2.5-7B,prontoqa,0,last,pca_only,0.0987,0.2167,0.0745,0.1892,0.1422,0.8298,0.0905,0.0253,100,3584
Qwen/Qwen2.5-7B,prontoqa,0,last,per_cloud,0.0042,0.2168,0.1122,0.1825,0.1045,2.0338,0.1783,0.0026,100,3584
