model,dataset,layer,rel_depth,eq56_delta_rel,defect_unnorm,defect_over_mindist,defect_over_meddist,one_minus_delta_rel,max_gromov_over_diam,minform_over_maxgromov
Qwen/Qwen2.5-7B,prontoqa,0,0.0,0.0747,0.1101,0.2352,0.0841,0.9253,0.9807,0.0759
Qwen/Qwen2.5-7B,prontoqa,1,0.036,0.0355,1.1372,2.7403,0.0777,0.9645,0.7274,0.0491
Qwen/Qwen2.5-7B,prontoqa,2,0.071,0.0418,2.1705,2.7391,0.1118,0.9582,0.7677,0.0543
Qwen/Qwen2.5-7B,prontoqa,3,0.107,0.054,2.9144,2.9235,0.1089,0.946,0.7395,0.071
Qwen/Qwen2.5-7B,prontoqa,4,0.143,0.0618,3.626,2.3683,0.113,0.9382,0.7861,0.0789
Qwen/Qwen2.5-7B,prontoqa,5,0.179,0.0563,3.8754,1.805,0.1056,0.9437,0.7779,0.0753
Qwen/Qwen2.5-7B,prontoqa,6,0.214,0.067,4.5959,1.7053,0.1164,0.933,0.7847,0.0838
Qwen/Qwen2.5-7B,prontoqa,7,0.25,0.071,5.3477,1.5354,0.1194,0.929,0.8035,0.0877
Qwen/Qwen2.5-7B,prontoqa,8,0.286,0.071,6.0579,1.5086,0.1177,0.929,0.8284,0.0868
Qwen/Qwen2.5-7B,prontoqa,9,0.321,0.071,6.6578,1.4144,0.1184,0.929,0.7993,0.0874
Qwen/Qwen2.5-7B,prontoqa,10,0.357,0.0813,7.3591,1.431,0.1305,0.9187,0.8267,0.0996
Qwen/Qwen2.5-7B,prontoqa,11,0.393,0.0806,7.2815,1.2269,0.1262,0.9194,0.825,0.0989
Qwen/Qwen2.5-7B,prontoqa,12,0.429,0.0802,7.587,1.0426,0.1252,0.9198,0.8333,0.0966
Qwen/Qwen2.5-7B,prontoqa,13,0.464,0.0836,8.0893,1.0462,0.1319,0.9164,0.8198,0.0996
Qwen/Qwen2.5-7B,prontoqa,14,0.5,0.0836,8.4458,0.8142,0.1297,0.9164,0.8359,0.1002
Qwen/Qwen2.5-7B,prontoqa,15,0.536,0.0839,8.9482,0.8807,0.1295,0.9161,0.8477,0.0998
Qwen/Qwen2.5-7B,prontoqa,16,0.571,0.0896,10.0107,0.7365,0.1319,0.9104,0.871,0.1043
Qwen/Qwen2.5-7B,prontoqa,17,0.607,0.0883,10.5239,0.6464,0.1317,0.9117,0.8615,0.1047
Qwen/Qwen2.5-7B,prontoqa,18,0.643,0.0905,11.5069,0.6244,0.1298,0.9095,0.8648,0.1034
Qwen/Qwen2.5-7B,prontoqa,19,0.679,0.0916,12.0402,0.5374,0.1282,0.9084,0.8812,0.1057
Qwen/Qwen2.5-7B,prontoqa,20,0.714,0.093,14.3234,0.5286,0.1307,0.907,0.8709,0.1078
Qwen/Qwen2.5-7B,prontoqa,21,0.75,0.0921,16.5902,0.5277,0.1249,0.9079,0.8933,0.1031
Qwen/Qwen2.5-7B,prontoqa,22,0.786,0.0897,20.1407,0.5638,0.1249,0.9103,0.8744,0.1043
Qwen/Qwen2.5-7B,prontoqa,23,0.821,0.0855,23.6663,0.613,0.1188,0.9145,0.8669,0.0988
Qwen/Qwen2.5-7B,prontoqa,24,0.857,0.0842,27.9143,0.6869,0.1192,0.9158,0.8591,0.0993
Qwen/Qwen2.5-7B,prontoqa,25,0.893,0.081,31.495,0.6758,0.1156,0.919,0.8492,0.0944
Qwen/Qwen2.5-7B,prontoqa,26,0.929,0.0745,32.9621,0.6684,0.1078,0.9255,0.8393,0.0885
Qwen/Qwen2.5-7B,prontoqa,27,0.964,0.0114,42.1961,0.731,0.1144,0.9886,0.9371,0.0122
Qwen/Qwen2.5-7B,prontoqa,28,1.0,0.1271,73.9983,2.0194,0.2159,0.8729,0.8283,0.1541
