model,dataset,target,layer,seed,arm,whitened,rho,distortion,epochs_trained,best_epoch
Qwen/Qwen2.5-7B,prontoqa,depth,0,0,bare_euclidean,True,0.2458,1.0811,400,100
Qwen/Qwen2.5-7B,prontoqa,depth,0,0,cond_euclidean,True,0.2454,1.0811,700,400
Qwen/Qwen2.5-7B,prontoqa,depth,0,0,hyperbolic,True,0.2338,1.0811,650,350
Qwen/Qwen2.5-7B,prontoqa,depth,0,1,bare_euclidean,True,0.2334,1.1819,350,50
Qwen/Qwen2.5-7B,prontoqa,depth,0,1,cond_euclidean,True,0.2231,1.1819,600,300
Qwen/Qwen2.5-7B,prontoqa,depth,0,1,hyperbolic,True,0.1961,1.1819,350,50
Qwen/Qwen2.5-7B,prontoqa,depth,0,2,bare_euclidean,True,0.0999,1.2116,450,150
Qwen/Qwen2.5-7B,prontoqa,depth,0,2,cond_euclidean,True,0.1316,1.2116,350,50
Qwen/Qwen2.5-7B,prontoqa,depth,0,2,hyperbolic,True,0.1265,1.2116,350,50
Qwen/Qwen2.5-7B,prontoqa,depth,0,3,bare_euclidean,True,0.0815,1.3575,350,50
Qwen/Qwen2.5-7B,prontoqa,depth,0,3,cond_euclidean,True,0.0733,1.3575,500,200
Qwen/Qwen2.5-7B,prontoqa,depth,0,3,hyperbolic,True,0.0725,1.3575,350,50
Qwen/Qwen2.5-7B,prontoqa,depth,0,4,bare_euclidean,True,-0.0052,1.4297,450,150
Qwen/Qwen2.5-7B,prontoqa,depth,0,4,cond_euclidean,True,0.0008,1.4297,550,250
Qwen/Qwen2.5-7B,prontoqa,depth,0,4,hyperbolic,True,-0.0044,1.4297,400,100
Qwen/Qwen2.5-7B,prontoqa,depth,7,0,bare_euclidean,True,0.2508,0.9737,400,100
Qwen/Qwen2.5-7B,prontoqa,depth,7,0,cond_euclidean,True,0.2273,0.9683,400,100
Qwen/Qwen2.5-7B,prontoqa,depth,7,0,hyperbolic,True,0.31,0.9963,900,600
Qwen/Qwen2.5-7B,prontoqa,depth,7,1,bare_euclidean,True,0.6166,0.731,400,100
Qwen/Qwen2.5-7B,prontoqa,depth,7,1,cond_euclidean,True,0.5484,0.855,400,100
Qwen/Qwen2.5-7B,prontoqa,depth,7,1,hyperbolic,True,0.5468,0.8915,400,100
Qwen/Qwen2.5-7B,prontoqa,depth,7,2,bare_euclidean,True,0.4055,0.8289,350,50
Qwen/Qwen2.5-7B,prontoqa,depth,7,2,cond_euclidean,True,0.3373,0.989,500,200
Qwen/Qwen2.5-7B,prontoqa,depth,7,2,hyperbolic,True,0.4204,0.9832,450,150
Qwen/Qwen2.5-7B,prontoqa,depth,7,3,bare_euclidean,True,0.6723,0.7307,450,150
Qwen/Qwen2.5-7B,prontoqa,depth,7,3,cond_euclidean,True,0.5921,0.8639,800,500
Qwen/Qwen2.5-7B,prontoqa,depth,7,3,hyperbolic,True,0.5511,0.9584,350,50
Qwen/Qwen2.5-7B,prontoqa,depth,7,4,bare_euclidean,True,0.3399,1.0351,500,200
Qwen/Qwen2.5-7B,prontoqa,depth,7,4,cond_euclidean,True,0.2924,1.0991,400,100
Qwen/Qwen2.5-7B,prontoqa,depth,7,4,hyperbolic,True,0.3471,1.0304,600,300
Qwen/Qwen2.5-7B,prontoqa,depth,14,0,bare_euclidean,True,0.3369,0.852,350,50
Qwen/Qwen2.5-7B,prontoqa,depth,14,0,cond_euclidean,True,0.3547,0.9146,1600,1300
Qwen/Qwen2.5-7B,prontoqa,depth,14,0,hyperbolic,True,0.2283,1.0372,400,100
Qwen/Qwen2.5-7B,prontoqa,depth,14,1,bare_euclidean,True,0.6776,0.7068,400,100
Qwen/Qwen2.5-7B,prontoqa,depth,14,1,cond_euclidean,True,0.6763,0.7155,600,300
Qwen/Qwen2.5-7B,prontoqa,depth,14,1,hyperbolic,True,0.71,0.6664,550,250
Qwen/Qwen2.5-7B,prontoqa,depth,14,2,bare_euclidean,True,0.5436,0.7354,550,250
Qwen/Qwen2.5-7B,prontoqa,depth,14,2,cond_euclidean,True,0.5466,0.8941,1200,900
Qwen/Qwen2.5-7B,prontoqa,depth,14,2,hyperbolic,True,0.5493,0.8308,450,150
