model,dataset,layer,token_source,metric,delta_data,delta_flat,delta_tree,delta_cluster,span,score,excess_over_cluster,noise_floor,n,dim
Qwen/Qwen2.5-7B,prontoqa,0,input,raw,0.243,0.0329,0.0748,0.0906,-0.042,,-0.1523,0.0129,100,3584
Qwen/Qwen2.5-7B,prontoqa,0,input,pca_only,0.243,0.2167,0.0745,0.1422,0.1422,-0.185,-0.1007,0.0129,100,3584
Qwen/Qwen2.5-7B,prontoqa,0,input,per_cloud,0.2298,0.2168,0.1122,0.1418,0.1045,-0.1249,-0.0881,0.0037,100,3584
Qwen/Qwen2.5-7B,prontoqa,0,input,background,0.234,0.1897,0.0735,0.179,0.1162,-0.3805,-0.055,0.0067,100,3584
Qwen/Qwen2.5-7B,prontoqa,0,generated,raw,0.2245,0.0329,0.0748,0.0501,-0.042,,-0.1744,0.0069,100,3584
Qwen/Qwen2.5-7B,prontoqa,0,generated,pca_only,0.2325,0.2167,0.0745,0.1452,0.1422,-0.1112,-0.0873,0.008,100,3584
Qwen/Qwen2.5-7B,prontoqa,0,generated,per_cloud,0.1962,0.2168,0.1122,0.1741,0.1045,0.1971,-0.022,0.0052,100,3584
Qwen/Qwen2.5-7B,prontoqa,0,generated,background,0.0902,0.1897,0.0735,0.188,0.1162,0.8562,0.0978,0.0194,100,3584
Qwen/Qwen2.5-7B,prontoqa,0,thinking,raw,0.2168,0.0329,0.0748,0.0603,-0.042,,-0.1564,0.0208,100,3584
Qwen/Qwen2.5-7B,prontoqa,0,thinking,pca_only,0.2168,0.2167,0.0745,0.1432,0.1422,-0.0008,-0.0736,0.0208,100,3584
Qwen/Qwen2.5-7B,prontoqa,0,thinking,per_cloud,0.1518,0.2168,0.1122,0.1358,0.1045,0.6214,-0.016,0.0077,100,3584
Qwen/Qwen2.5-7B,prontoqa,0,thinking,background,0.0696,0.1897,0.0735,0.1467,0.1162,1.0335,0.077,0.0436,100,3584
Qwen/Qwen2.5-7B,prontoqa,0,last,raw,0.0704,0.0329,0.0748,0.0354,-0.042,,-0.035,0.0345,100,3584
Qwen/Qwen2.5-7B,prontoqa,0,last,pca_only,0.0704,0.2167,0.0745,0.1659,0.1422,1.0288,0.0955,0.0345,100,3584
Qwen/Qwen2.5-7B,prontoqa,0,last,per_cloud,0.0212,0.2168,0.1122,0.1685,0.1045,1.8713,0.1474,0.0101,100,3584
Qwen/Qwen2.5-7B,prontoqa,0,last,background,0.0,0.1897,0.0735,0.1875,0.1162,1.6323,0.1875,0.0,100,3584
Qwen/Qwen2.5-7B,prontoqa,0,all,raw,0.2287,0.0329,0.0748,0.0589,-0.042,,-0.1699,0.008,100,3584
Qwen/Qwen2.5-7B,prontoqa,0,all,pca_only,0.2352,0.2167,0.0745,0.145,0.1422,-0.1306,-0.0902,0.0088,100,3584
Qwen/Qwen2.5-7B,prontoqa,0,all,per_cloud,0.2029,0.2168,0.1122,0.161,0.1045,0.133,-0.0419,0.0053,100,3584
Qwen/Qwen2.5-7B,prontoqa,0,all,background,0.0951,0.1897,0.0735,0.1857,0.1162,0.8141,0.0906,0.022,100,3584
Qwen/Qwen2.5-7B,prontoqa,1,input,raw,0.2526,0.0329,0.0748,0.0981,-0.042,,-0.1545,0.0075,100,3584
Qwen/Qwen2.5-7B,prontoqa,1,input,pca_only,0.2549,0.2167,0.0745,0.1388,0.1422,-0.2693,-0.1161,0.0076,100,3584
Qwen/Qwen2.5-7B,prontoqa,1,input,per_cloud,0.1972,0.2168,0.1122,0.1378,0.1045,0.1867,-0.0594,0.0046,100,3584
Qwen/Qwen2.5-7B,prontoqa,1,input,background,0.2499,0.1414,0.0677,0.1388,0.0736,-1.4749,-0.1111,0.0054,100,3584
Qwen/Qwen2.5-7B,prontoqa,1,generated,raw,0.2336,0.0329,0.0748,0.0549,-0.042,,-0.1787,0.0053,100,3584
Qwen/Qwen2.5-7B,prontoqa,1,generated,pca_only,0.2449,0.2167,0.0745,0.1487,0.1422,-0.1989,-0.0962,0.0058,100,3584
Qwen/Qwen2.5-7B,prontoqa,1,generated,per_cloud,0.1876,0.2168,0.1122,0.1748,0.1045,0.2795,-0.0127,0.0071,100,3584
Qwen/Qwen2.5-7B,prontoqa,1,generated,background,0.2175,0.1414,0.0677,0.1051,0.0736,-1.034,-0.1123,0.009,100,3584
Qwen/Qwen2.5-7B,prontoqa,1,thinking,raw,0.2153,0.0329,0.0748,0.0413,-0.042,,-0.174,0.0211,100,3584
Qwen/Qwen2.5-7B,prontoqa,1,thinking,pca_only,0.2162,0.2167,0.0745,0.1027,0.1422,0.0032,-0.1135,0.0211,100,3584
Qwen/Qwen2.5-7B,prontoqa,1,thinking,per_cloud,0.1416,0.2168,0.1122,0.1231,0.1045,0.7192,-0.0185,0.0067,100,3584
Qwen/Qwen2.5-7B,prontoqa,1,thinking,background,0.2378,0.1414,0.0677,0.1726,0.0736,-1.3101,-0.0652,0.0168,100,3584
Qwen/Qwen2.5-7B,prontoqa,1,last,raw,0.0345,0.0329,0.0748,0.0349,-0.042,,0.0004,0.0044,100,3584
Qwen/Qwen2.5-7B,prontoqa,1,last,pca_only,0.0346,0.2167,0.0745,0.1727,0.1422,1.2806,0.1381,0.0042,100,3584
Qwen/Qwen2.5-7B,prontoqa,1,last,per_cloud,0.1459,0.2168,0.1122,0.184,0.1045,0.6778,0.0381,0.0073,100,3584
Qwen/Qwen2.5-7B,prontoqa,1,last,background,0.0634,0.1414,0.0677,0.1217,0.0736,1.0594,0.0584,0.0071,100,3584
Qwen/Qwen2.5-7B,prontoqa,1,all,raw,0.2383,0.0329,0.0748,0.0656,-0.042,,-0.1727,0.0072,100,3584
