model,dataset,layer,rel_depth,eq56_delta_rel,defect_unnorm,defect_over_mindist,defect_over_meddist,one_minus_delta_rel,max_gromov_over_diam,minform_over_maxgromov
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,0.0,0.0673,0.171,0.8083,0.0841,0.9327,0.9826,0.0688
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,0.036,0.0245,2.9303,1585.0414,0.0854,0.9755,0.83,0.0291
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,0.071,0.0314,4.5839,510.2887,0.1049,0.9686,0.8003,0.0388
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,0.107,0.0386,5.8952,682.0917,0.1032,0.9614,0.7141,0.0537
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,4,0.143,0.06,7.9278,1.7035,0.1121,0.94,0.7108,0.0849
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,0.179,0.0195,8.9855,1.3842,0.1128,0.9805,0.8525,0.0237
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,0.214,0.0524,10.0274,1.3056,0.1147,0.9476,0.786,0.0716
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,7,0.25,0.0539,10.5362,1.0659,0.1063,0.9461,0.7534,0.0751
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,8,0.286,0.057,12.2366,0.9488,0.1022,0.943,0.7603,0.0768
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,9,0.321,0.051,12.9406,0.7678,0.0965,0.949,0.7933,0.0717
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,10,0.357,0.0604,14.1488,0.8424,0.1041,0.9396,0.7718,0.083
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,11,0.393,0.0629,15.2647,0.8352,0.1072,0.9371,0.8037,0.0784
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,12,0.429,0.0685,15.8852,0.7513,0.1039,0.9315,0.801,0.087
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,13,0.464,0.07,17.1419,0.6777,0.1057,0.93,0.7739,0.0909
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,14,0.5,0.0718,18.2609,0.5801,0.1058,0.9282,0.8022,0.091
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,15,0.536,0.0736,19.8112,0.5426,0.1072,0.9264,0.8141,0.0919
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,16,0.571,0.0761,22.725,0.5376,0.1099,0.9239,0.8192,0.0945
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,17,0.607,0.0732,24.4303,0.4884,0.1085,0.9268,0.8181,0.0908
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,18,0.643,0.0146,27.952,0.464,0.1113,0.9854,0.8965,0.0164
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,19,0.679,0.0142,30.894,0.4381,0.1091,0.9858,0.908,0.0163
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,20,0.714,0.0136,37.9863,0.4641,0.1144,0.9864,0.9172,0.0152
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,21,0.75,0.0163,44.407,0.4493,0.1099,0.9837,0.8996,0.0181
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,22,0.786,0.0197,51.8477,0.4527,0.1069,0.9803,0.8669,0.0229
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,23,0.821,0.0227,61.3246,0.4624,0.1046,0.9773,0.8352,0.028
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,24,0.857,0.0263,67.4638,0.4458,0.0995,0.9737,0.8087,0.033
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,25,0.893,0.0104,74.9126,0.448,0.0969,0.9896,0.9253,0.0114
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,26,0.929,0.0114,80.7564,0.46,0.0934,0.9886,0.916,0.0127
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,27,0.964,0.0249,103.7816,0.5036,0.1014,0.9751,0.83,0.0307
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,28,1.0,0.1021,41.6128,5225.1034,0.1927,0.8979,0.7604,0.1315
