model,dataset,target,layer,seed,arm,whitened,rho,distortion,epochs_trained,best_epoch
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,0,0,bare_euclidean,True,0.0796,1.2487,400,100
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,0,0,cond_euclidean,True,0.0477,1.2487,400,100
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,0,0,hyperbolic,True,0.0529,1.2487,350,50
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,0,1,bare_euclidean,True,0.0708,1.3679,750,450
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,0,1,cond_euclidean,True,0.0509,1.3679,400,100
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,0,1,hyperbolic,True,0.0497,1.3679,400,100
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,0,2,bare_euclidean,True,-0.0035,1.2317,700,400
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,0,2,cond_euclidean,True,0.0033,1.2318,600,300
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,0,2,hyperbolic,True,0.0019,1.2313,550,250
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,0,3,bare_euclidean,True,-0.0284,1.3561,400,100
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,0,3,cond_euclidean,True,-0.0351,1.3561,450,150
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,0,3,hyperbolic,True,-0.0232,1.3561,450,150
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,0,4,bare_euclidean,True,-0.0801,1.4274,800,500
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,0,4,cond_euclidean,True,-0.0593,1.4276,400,100
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,0,4,hyperbolic,True,-0.0565,1.4277,500,200
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,7,0,bare_euclidean,True,0.1976,0.985,500,200
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,7,0,cond_euclidean,True,0.2527,0.9847,800,500
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,7,0,hyperbolic,True,0.2176,0.9622,350,50
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,7,1,bare_euclidean,True,0.3384,0.986,400,100
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,7,1,cond_euclidean,True,0.4137,0.9274,700,400
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,7,1,hyperbolic,True,0.488,0.8762,800,500
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,7,2,bare_euclidean,True,0.3978,0.8701,550,250
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,7,2,cond_euclidean,True,0.3973,0.9039,950,650
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,7,2,hyperbolic,True,0.4401,0.9007,1000,700
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,7,3,bare_euclidean,True,0.3047,1.0563,350,50
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,7,3,cond_euclidean,True,0.4393,0.9922,700,400
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,7,3,hyperbolic,True,0.5104,0.9369,900,600
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,7,4,bare_euclidean,True,0.3126,1.0567,600,300
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,7,4,cond_euclidean,True,0.2835,1.0882,400,100
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,7,4,hyperbolic,True,0.4253,0.9795,1150,850
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,14,0,bare_euclidean,True,0.3293,0.923,600,300
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,14,0,cond_euclidean,True,0.4745,0.8021,850,550
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,14,0,hyperbolic,True,0.4713,0.8276,600,300
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,14,1,bare_euclidean,True,0.5082,0.8479,400,100
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,14,1,cond_euclidean,True,0.7105,0.6962,2700,2400
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,14,1,hyperbolic,True,0.5815,0.8056,600,300
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,14,2,bare_euclidean,True,0.5525,0.795,600,300
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,14,2,cond_euclidean,True,0.5779,0.7562,850,550
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,14,2,hyperbolic,True,0.5843,0.7324,350,50
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,14,3,bare_euclidean,True,0.4384,0.9749,400,100
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,14,3,cond_euclidean,True,0.6129,0.8121,1250,950
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,14,3,hyperbolic,True,0.5799,0.8718,1050,750
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,14,4,bare_euclidean,True,0.4815,0.9546,550,250
