model,dataset,layer,token_source,metric,delta_data,delta_flat,delta_tree,delta_cluster,span,score,excess_over_cluster,noise_floor,n,dim
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,input,raw,0.2452,0.0329,0.0748,0.0946,-0.042,,-0.1506,0.012,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,input,pca_only,0.2452,0.2167,0.0745,0.1513,0.1422,-0.2011,-0.094,0.012,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,input,per_cloud,0.2319,0.2168,0.1122,0.152,0.1045,-0.1446,-0.0799,0.0037,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,input,background,0.2358,0.1329,0.0739,0.1317,0.059,-1.7418,-0.1041,0.0076,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,generated,raw,0.2001,0.0329,0.0748,0.0457,-0.042,,-0.1544,0.0091,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,generated,pca_only,0.2133,0.2167,0.0745,0.141,0.1422,0.0233,-0.0723,0.0098,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,generated,per_cloud,0.1967,0.2168,0.1122,0.1526,0.1045,0.1921,-0.044,0.0046,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,generated,background,0.1161,0.1329,0.0739,0.124,0.059,0.2859,0.008,0.0078,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,thinking,raw,0.1985,0.0329,0.0748,0.0887,-0.042,,-0.1098,0.0094,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,thinking,pca_only,0.1985,0.2167,0.0745,0.1334,0.1422,0.128,-0.0651,0.0094,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,thinking,per_cloud,0.1429,0.2168,0.1122,0.0902,0.1045,0.7065,-0.0527,0.0127,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,thinking,background,0.1942,0.1329,0.0739,0.2136,0.059,-1.0376,0.0194,0.0132,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,last,raw,0.0231,0.0329,0.0748,0.0372,-0.042,,0.0141,0.0086,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,last,pca_only,0.0231,0.2167,0.0745,0.1668,0.1422,1.3614,0.1436,0.0086,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,last,per_cloud,0.0072,0.2168,0.1122,0.1603,0.1045,2.0053,0.1531,0.0031,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,last,background,0.0355,0.1329,0.0739,0.1262,0.059,1.6503,0.0907,0.0124,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,all,raw,0.2099,0.0329,0.0748,0.0458,-0.042,,-0.1641,0.0099,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,all,pca_only,0.222,0.2167,0.0745,0.1437,0.1422,-0.0377,-0.0783,0.0102,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,all,per_cloud,0.1971,0.2168,0.1122,0.1506,0.1045,0.188,-0.0466,0.0043,100,3584
