model,dataset,layer,rel_depth,eq56_delta_rel,defect_unnorm,defect_over_mindist,defect_over_meddist,one_minus_delta_rel,max_gromov_over_diam,minform_over_maxgromov
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,0.0,0.0666,0.1691,0.6385,0.082,0.9334,0.9822,0.0681
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,0.036,0.0222,2.6696,2.4293,0.0784,0.9778,0.805,0.0283
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,0.071,0.0292,4.2977,2.2222,0.0977,0.9708,0.7766,0.039
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,0.107,0.0363,5.6165,2.0681,0.0989,0.9637,0.6849,0.0547
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,4,0.143,0.0555,7.6677,1.991,0.11,0.9445,0.6941,0.078
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,0.179,0.0177,8.6076,1.5882,0.1094,0.9823,0.8704,0.0211
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,0.214,0.0156,9.3401,1.2822,0.1079,0.9844,0.8453,0.0207
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,7,0.25,0.0168,10.1901,1.0454,0.102,0.9832,0.843,0.0229
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,8,0.286,0.0153,11.9806,1.0021,0.1007,0.9847,0.8575,0.0193
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,9,0.321,0.0175,12.9581,0.9152,0.0974,0.9825,0.8583,0.0204
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,10,0.357,0.0161,14.128,0.9728,0.1052,0.9839,0.8641,0.0208
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,11,0.393,0.0155,15.4125,0.9664,0.1089,0.9845,0.8763,0.0192
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,12,0.429,0.0625,15.8714,0.7948,0.1052,0.9375,0.8031,0.0821
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,13,0.464,0.0644,16.5911,0.7244,0.1052,0.9356,0.7975,0.084
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,14,0.5,0.0676,18.32,0.6297,0.1072,0.9324,0.7676,0.0901
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,15,0.536,0.0657,19.9264,0.6107,0.1079,0.9343,0.8391,0.0865
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,16,0.571,0.0311,23.0933,0.5744,0.1117,0.9689,0.8418,0.0882
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,17,0.607,0.0159,24.1713,0.5296,0.1078,0.9841,0.8865,0.0204
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,18,0.643,0.0147,27.2539,0.5159,0.1092,0.9853,0.8971,0.0174
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,19,0.679,0.0155,31.933,0.5021,0.1131,0.9845,0.8954,0.0183
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,20,0.714,0.0134,35.9001,0.5175,0.1102,0.9866,0.9104,0.015
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,21,0.75,0.0181,42.0432,0.4899,0.108,0.9819,0.8743,0.0218
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,22,0.786,0.022,50.1498,0.5168,0.1062,0.978,0.8428,0.0274
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,23,0.821,0.0258,58.5827,0.4966,0.1011,0.9742,0.8086,0.033
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,24,0.857,0.0288,64.077,0.5089,0.0961,0.9712,0.7667,0.0384
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,25,0.893,0.0347,71.2974,0.5225,0.0948,0.9653,0.7149,0.05
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,26,0.929,0.0363,76.2975,0.5106,0.0894,0.9637,0.6982,0.054
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,27,0.964,0.0545,95.458,0.562,0.0959,0.9455,0.6576,0.0827
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,28,1.0,0.0985,41.4569,2.9934,0.1979,0.9015,0.7553,0.1308
