model,dataset,target,layer,seed,arm,whitened,rho,distortion,epochs_trained,best_epoch
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,0,0,bare_euclidean,True,0.0867,1.0447,400,100
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,0,0,cond_euclidean,True,0.0445,1.072,500,200
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,0,0,hyperbolic,True,0.0964,1.0388,350,50
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,0,1,bare_euclidean,True,0.2147,1.047,550,250
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,0,1,cond_euclidean,True,0.2238,1.0414,350,50
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,0,1,hyperbolic,True,0.2097,1.0239,500,200
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,0,2,bare_euclidean,True,0.1262,1.1031,500,200
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,0,2,cond_euclidean,True,0.161,1.1471,1050,750
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,0,2,hyperbolic,True,0.0961,1.3355,350,50
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,0,3,bare_euclidean,True,-0.0423,1.2711,350,50
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,0,3,cond_euclidean,True,-0.0302,1.2226,350,50
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,0,3,hyperbolic,True,-0.0383,1.241,400,100
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,0,4,bare_euclidean,True,0.0785,1.1974,400,100
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,0,4,cond_euclidean,True,0.0933,1.1867,350,50
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,0,4,hyperbolic,True,0.0273,1.2364,350,50
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,7,0,bare_euclidean,True,0.0881,1.0141,800,500
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,7,0,cond_euclidean,True,0.0747,1.1134,350,50
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,7,0,hyperbolic,True,0.2321,1.1336,650,350
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,7,1,bare_euclidean,True,0.2322,1.0167,500,200
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,7,1,cond_euclidean,True,0.2549,1.0514,850,550
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,7,1,hyperbolic,True,0.1314,1.1926,450,150
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,7,2,bare_euclidean,True,0.1918,1.0358,500,200
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,7,2,cond_euclidean,True,0.2591,1.0054,750,450
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,7,2,hyperbolic,True,0.1977,1.1675,600,300
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,depth,7,3,bare_euclidean,True,-0.0171,1.2115,350,50
