model,dataset,layer,token_source,metric,delta_data,delta_flat,delta_tree,delta_cluster,span,score,excess_over_cluster,noise_floor,n,dim
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,input,raw,0.2436,0.0329,0.0748,0.0907,-0.042,,-0.153,0.0118,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,input,pca_only,0.2436,0.2167,0.0745,0.1449,0.1422,-0.1896,-0.0987,0.0118,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,input,per_cloud,0.2302,0.2168,0.1122,0.1418,0.1045,-0.1286,-0.0884,0.0039,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,input,background,0.2321,0.134,0.0852,0.1299,0.0488,-2.0082,-0.1021,0.0076,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,generated,raw,0.1482,0.0329,0.0748,0.0358,-0.042,,-0.1124,0.0183,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,generated,pca_only,0.1579,0.2167,0.0745,0.1448,0.1422,0.413,-0.0131,0.0206,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,generated,per_cloud,0.1767,0.2168,0.1122,0.1508,0.1045,0.3832,-0.026,0.0091,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,generated,background,0.0681,0.134,0.0852,0.1259,0.0488,1.3502,0.0578,0.0227,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,thinking,raw,0.1729,0.032,0.0753,0.0324,-0.0433,,-0.1405,0.0103,99,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,thinking,pca_only,0.1729,0.2172,0.075,0.1146,0.1421,0.3118,-0.0583,0.0103,99,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,thinking,per_cloud,0.1591,0.2178,0.0947,0.1174,0.1231,0.4763,-0.0418,0.0115,99,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,thinking,background,0.1434,0.1327,0.0865,0.1316,0.0462,-0.2317,-0.0118,0.0141,99,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,last,raw,0.0827,0.0329,0.0748,0.041,-0.042,,-0.0417,0.0049,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,last,pca_only,0.0874,0.2167,0.0745,0.1965,0.1422,0.9095,0.1091,0.0051,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,last,per_cloud,0.0442,0.2168,0.1122,0.1952,0.1045,1.651,0.1511,0.0057,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,last,background,0.0632,0.134,0.0852,0.1341,0.0488,1.4509,0.0709,0.0057,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,all,raw,0.1571,0.0329,0.0748,0.0374,-0.042,,-0.1197,0.0201,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,all,pca_only,0.1653,0.2167,0.0745,0.158,0.1422,0.3609,-0.0073,0.0222,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,all,per_cloud,0.1775,0.2168,0.1122,0.166,0.1045,0.3755,-0.0115,0.0096,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,all,background,0.0684,0.134,0.0852,0.1272,0.0488,1.344,0.0588,0.0248,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,input,raw,0.2557,0.0329,0.0748,0.118,-0.042,,-0.1378,0.01,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,input,pca_only,0.2576,0.2167,0.0745,0.1344,0.1422,-0.2883,-0.1232,0.01,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,input,per_cloud,0.2024,0.2168,0.1122,0.1337,0.1045,0.1372,-0.0687,0.0051,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,input,background,0.25,0.129,0.067,0.1277,0.0621,-1.95,-0.1223,0.0084,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,generated,raw,0.1515,0.0329,0.0748,0.0354,-0.042,,-0.1161,0.0186,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,generated,pca_only,0.1609,0.2167,0.0745,0.1547,0.1422,0.3921,-0.0062,0.0198,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,generated,per_cloud,0.1768,0.2168,0.1122,0.1605,0.1045,0.3827,-0.0163,0.01,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,generated,background,0.1193,0.129,0.067,0.1138,0.0621,0.1569,-0.0054,0.0245,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,thinking,raw,0.1606,0.032,0.0753,0.0299,-0.0433,,-0.1307,0.0107,99,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,thinking,pca_only,0.1621,0.2172,0.075,0.1101,0.1421,0.3873,-0.0521,0.0107,99,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,thinking,per_cloud,0.1647,0.2178,0.0947,0.1134,0.1231,0.4314,-0.0512,0.0073,99,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,thinking,background,0.1633,0.1292,0.0672,0.111,0.062,-0.5507,-0.0523,0.012,99,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,last,raw,0.0794,0.0329,0.0748,0.0422,-0.042,,-0.0372,0.0075,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,last,pca_only,0.0868,0.2167,0.0745,0.1981,0.1422,0.9137,0.1113,0.0207,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,last,per_cloud,0.0947,0.2168,0.1122,0.1956,0.1045,1.168,0.1009,0.0085,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,last,background,0.0802,0.129,0.067,0.139,0.0621,0.7867,0.0588,0.0058,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,all,raw,0.1617,0.0329,0.0748,0.0374,-0.042,,-0.1243,0.0192,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,all,pca_only,0.1726,0.2167,0.0745,0.1642,0.1422,0.3097,-0.0084,0.021,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,all,per_cloud,0.1788,0.2168,0.1122,0.1816,0.1045,0.3631,0.0027,0.0096,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,all,background,0.1232,0.129,0.067,0.1146,0.0621,0.0933,-0.0086,0.0267,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,input,raw,0.2533,0.0329,0.0748,0.1295,-0.042,,-0.1238,0.0084,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,input,pca_only,0.2557,0.2167,0.0745,0.1452,0.1422,-0.2747,-0.1105,0.0086,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,input,per_cloud,0.2028,0.2168,0.1122,0.1433,0.1045,0.134,-0.0595,0.0053,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,input,background,0.2561,0.1267,0.0799,0.1265,0.0468,-2.7661,-0.1296,0.0083,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,generated,raw,0.1477,0.0329,0.0748,0.0359,-0.042,,-0.1118,0.0171,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,generated,pca_only,0.1565,0.2167,0.0745,0.1465,0.1422,0.423,-0.0101,0.0187,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,generated,per_cloud,0.178,0.2168,0.1122,0.1519,0.1045,0.3707,-0.0262,0.0094,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,generated,background,0.1074,0.1267,0.0799,0.1056,0.0468,0.4126,-0.0017,0.0276,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,thinking,raw,0.1705,0.032,0.0753,0.0317,-0.0433,,-0.1388,0.011,99,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,thinking,pca_only,0.1732,0.2172,0.075,0.1163,0.1421,0.3094,-0.0569,0.011,99,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,thinking,per_cloud,0.1632,0.2178,0.0947,0.1145,0.1231,0.4432,-0.0487,0.0087,99,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,thinking,background,0.1553,0.1271,0.0806,0.1082,0.0465,-0.6071,-0.0472,0.0107,99,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,last,raw,0.0638,0.0329,0.0748,0.0385,-0.042,,-0.0253,0.0084,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,last,pca_only,0.0763,0.2167,0.0745,0.163,0.1422,0.9873,0.0867,0.0139,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,last,per_cloud,0.1043,0.2168,0.1122,0.1632,0.1045,1.0762,0.059,0.0086,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,last,background,0.0976,0.1267,0.0799,0.1365,0.0468,0.6206,0.0389,0.0039,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,all,raw,0.1571,0.0329,0.0748,0.0394,-0.042,,-0.1177,0.0179,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,all,pca_only,0.166,0.2167,0.0745,0.1539,0.1422,0.3561,-0.0122,0.0188,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,all,per_cloud,0.1807,0.2168,0.1122,0.1662,0.1045,0.3453,-0.0145,0.011,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,all,background,0.1105,0.1267,0.0799,0.1068,0.0468,0.3456,-0.0037,0.0295,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,input,raw,0.2471,0.0329,0.0748,0.1084,-0.042,,-0.1388,0.006,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,input,pca_only,0.2496,0.2167,0.0745,0.1457,0.1422,-0.2319,-0.1039,0.0059,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,input,per_cloud,0.2018,0.2168,0.1122,0.1537,0.1045,0.1427,-0.0481,0.0052,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,input,background,0.263,0.1308,0.0744,0.1241,0.0564,-2.345,-0.1389,0.0081,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,generated,raw,0.1377,0.0329,0.0748,0.037,-0.042,,-0.1008,0.018,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,generated,pca_only,0.1462,0.2167,0.0745,0.1349,0.1422,0.4953,-0.0114,0.0193,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,generated,per_cloud,0.1785,0.2168,0.1122,0.1387,0.1045,0.3659,-0.0398,0.0113,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,generated,background,0.11,0.1308,0.0744,0.1072,0.0564,0.368,-0.0028,0.0297,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,thinking,raw,0.1666,0.032,0.0753,0.0329,-0.0433,,-0.1337,0.0108,99,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,thinking,pca_only,0.1689,0.2172,0.075,0.1161,0.1421,0.3395,-0.0528,0.0106,99,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,thinking,per_cloud,0.1605,0.2178,0.0947,0.1161,0.1231,0.4649,-0.0445,0.0082,99,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,thinking,background,0.1643,0.1317,0.0751,0.1057,0.0566,-0.5748,-0.0585,0.0114,99,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,last,raw,0.0661,0.0329,0.0748,0.0388,-0.042,,-0.0272,0.0048,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,last,pca_only,0.0797,0.2167,0.0745,0.1694,0.1422,0.9634,0.0897,0.009,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,last,per_cloud,0.1042,0.2168,0.1122,0.1696,0.1045,1.0772,0.0654,0.0111,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,last,background,0.0813,0.1308,0.0744,0.1363,0.0564,0.8764,0.055,0.0046,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,all,raw,0.1472,0.0329,0.0748,0.0415,-0.042,,-0.1058,0.0179,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,all,pca_only,0.1559,0.2167,0.0745,0.1409,0.1422,0.4276,-0.0149,0.019,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,all,per_cloud,0.18,0.2168,0.1122,0.1538,0.1045,0.3519,-0.0262,0.0116,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,all,background,0.1134,0.1308,0.0744,0.1089,0.0564,0.3071,-0.0045,0.0321,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,4,input,raw,0.2462,0.0329,0.0748,0.0998,-0.042,,-0.1464,0.0056,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,4,input,pca_only,0.2501,0.2167,0.0745,0.1292,0.1422,-0.2355,-0.1209,0.0058,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,4,input,per_cloud,0.2022,0.2168,0.1122,0.1369,0.1045,0.1395,-0.0653,0.0055,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,4,input,background,0.2551,0.1309,0.0616,0.1135,0.0693,-1.792,-0.1416,0.0083,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,4,generated,raw,0.134,0.0329,0.0748,0.0367,-0.042,,-0.0973,0.0164,100,3584
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,4,generated,pca_only,0.1426,0.2167,0.0745,0.1307,0.1422,0.5211,-0.0119,0.0179,100,3584
