model,dataset,target,layer,seed,arm,whitened,rho,distortion,epochs_trained,best_epoch
mistralai/Mistral-7B-v0.3,harm_taxonomy,depth,0,0,bare_euclidean,True,0.0817,168.8699,450,150
mistralai/Mistral-7B-v0.3,harm_taxonomy,depth,0,0,cond_euclidean,True,0.1081,0.1867,350,50
mistralai/Mistral-7B-v0.3,harm_taxonomy,depth,0,0,hyperbolic,True,0.0716,0.2767,1450,1150
mistralai/Mistral-7B-v0.3,harm_taxonomy,depth,0,1,bare_euclidean,True,-0.0416,260.9965,350,50
mistralai/Mistral-7B-v0.3,harm_taxonomy,depth,0,1,cond_euclidean,True,-0.0311,0.21,400,100
mistralai/Mistral-7B-v0.3,harm_taxonomy,depth,0,1,hyperbolic,True,-0.0234,0.3123,350,50
mistralai/Mistral-7B-v0.3,harm_taxonomy,depth,0,2,bare_euclidean,True,0.1244,373.6486,550,250
mistralai/Mistral-7B-v0.3,harm_taxonomy,depth,0,2,cond_euclidean,True,0.0977,0.2091,1300,1000
mistralai/Mistral-7B-v0.3,harm_taxonomy,depth,0,2,hyperbolic,True,0.1127,0.2598,1100,800
mistralai/Mistral-7B-v0.3,harm_taxonomy,depth,0,3,bare_euclidean,True,-0.071,199.688,350,50
mistralai/Mistral-7B-v0.3,harm_taxonomy,depth,0,3,cond_euclidean,True,-0.0193,0.2224,350,50
mistralai/Mistral-7B-v0.3,harm_taxonomy,depth,0,3,hyperbolic,True,-0.0319,0.2729,350,50
mistralai/Mistral-7B-v0.3,harm_taxonomy,depth,0,4,bare_euclidean,True,0.0747,264.495,450,150
mistralai/Mistral-7B-v0.3,harm_taxonomy,depth,0,4,cond_euclidean,True,0.068,0.2033,350,50
mistralai/Mistral-7B-v0.3,harm_taxonomy,depth,0,4,hyperbolic,True,0.0737,0.2888,450,150
mistralai/Mistral-7B-v0.3,harm_taxonomy,depth,0,5,bare_euclidean,True,0.0674,154.9872,550,250
mistralai/Mistral-7B-v0.3,harm_taxonomy,depth,0,5,cond_euclidean,True,0.0646,0.2101,750,450
mistralai/Mistral-7B-v0.3,harm_taxonomy,depth,0,5,hyperbolic,True,0.0447,0.2899,400,100
mistralai/Mistral-7B-v0.3,harm_taxonomy,depth,8,0,bare_euclidean,True,0.1201,0.1994,400,100
mistralai/Mistral-7B-v0.3,harm_taxonomy,depth,8,0,cond_euclidean,True,0.0573,0.1666,400,100
