model,dataset,target,layer,seed,arm,whitened,rho,distortion,epochs_trained,best_epoch
mistralai/Mistral-7B-v0.3,harm_taxonomy,taxonomy,0,0,bare_euclidean,True,0.0659,195.1358,1200,900
mistralai/Mistral-7B-v0.3,harm_taxonomy,taxonomy,0,0,cond_euclidean,True,0.0315,1.4035,900,600
mistralai/Mistral-7B-v0.3,harm_taxonomy,taxonomy,0,0,hyperbolic,True,0.0949,1.3009,450,150
mistralai/Mistral-7B-v0.3,harm_taxonomy,taxonomy,0,1,bare_euclidean,True,0.0294,300.4456,800,500
mistralai/Mistral-7B-v0.3,harm_taxonomy,taxonomy,0,1,cond_euclidean,True,-0.0068,1.4586,700,400
mistralai/Mistral-7B-v0.3,harm_taxonomy,taxonomy,0,1,hyperbolic,True,0.0214,1.3494,1050,750
mistralai/Mistral-7B-v0.3,harm_taxonomy,taxonomy,0,2,bare_euclidean,True,0.0102,434.6286,500,200
mistralai/Mistral-7B-v0.3,harm_taxonomy,taxonomy,0,2,cond_euclidean,True,-0.0105,1.5337,450,150
mistralai/Mistral-7B-v0.3,harm_taxonomy,taxonomy,0,2,hyperbolic,True,0.0025,1.4563,350,50
mistralai/Mistral-7B-v0.3,harm_taxonomy,taxonomy,0,3,bare_euclidean,True,-0.0246,231.1993,850,550
mistralai/Mistral-7B-v0.3,harm_taxonomy,taxonomy,0,3,cond_euclidean,True,0.0436,1.418,350,50
mistralai/Mistral-7B-v0.3,harm_taxonomy,taxonomy,0,3,hyperbolic,True,0.0547,1.3201,550,250
mistralai/Mistral-7B-v0.3,harm_taxonomy,taxonomy,0,4,bare_euclidean,True,0.0344,302.8823,350,50
mistralai/Mistral-7B-v0.3,harm_taxonomy,taxonomy,0,4,cond_euclidean,True,0.022,1.4881,400,100
mistralai/Mistral-7B-v0.3,harm_taxonomy,taxonomy,0,4,hyperbolic,True,0.0523,1.3673,550,250
mistralai/Mistral-7B-v0.3,harm_taxonomy,taxonomy,0,5,bare_euclidean,True,0.0404,179.6925,400,100
mistralai/Mistral-7B-v0.3,harm_taxonomy,taxonomy,0,5,cond_euclidean,True,0.0629,1.3916,1900,1600
mistralai/Mistral-7B-v0.3,harm_taxonomy,taxonomy,0,5,hyperbolic,True,0.0918,1.304,350,50
mistralai/Mistral-7B-v0.3,harm_taxonomy,taxonomy,8,0,bare_euclidean,True,0.2492,1.0878,750,450
mistralai/Mistral-7B-v0.3,harm_taxonomy,taxonomy,8,0,cond_euclidean,True,0.171,1.1923,450,150
mistralai/Mistral-7B-v0.3,harm_taxonomy,taxonomy,8,0,hyperbolic,True,0.1394,1.0666,350,50
mistralai/Mistral-7B-v0.3,harm_taxonomy,taxonomy,8,1,bare_euclidean,True,0.1927,1.074,700,400
mistralai/Mistral-7B-v0.3,harm_taxonomy,taxonomy,8,1,cond_euclidean,True,0.1167,1.1852,850,550
mistralai/Mistral-7B-v0.3,harm_taxonomy,taxonomy,8,1,hyperbolic,True,0.1677,1.1317,350,50
mistralai/Mistral-7B-v0.3,harm_taxonomy,taxonomy,8,2,bare_euclidean,True,0.1229,1.2381,450,150
mistralai/Mistral-7B-v0.3,harm_taxonomy,taxonomy,8,2,cond_euclidean,True,0.1115,1.1799,1700,1400
mistralai/Mistral-7B-v0.3,harm_taxonomy,taxonomy,8,2,hyperbolic,True,0.0851,1.1648,1050,750
mistralai/Mistral-7B-v0.3,harm_taxonomy,taxonomy,8,3,bare_euclidean,True,0.2248,1.1204,1350,1050
mistralai/Mistral-7B-v0.3,harm_taxonomy,taxonomy,8,3,cond_euclidean,True,0.1487,1.2107,850,550
mistralai/Mistral-7B-v0.3,harm_taxonomy,taxonomy,8,3,hyperbolic,True,0.1365,1.1126,400,100
mistralai/Mistral-7B-v0.3,harm_taxonomy,taxonomy,8,4,bare_euclidean,True,0.1628,1.1726,650,350
