model,dataset,target,layer,seed,arm,whitened,rho,distortion,epochs_trained,best_epoch
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,0,0,bare_euclidean,True,0.0839,206.9252,350,50
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,0,0,cond_euclidean,True,0.0574,0.3414,350,50
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,0,0,hyperbolic,True,0.0755,0.3453,650,350
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,0,1,bare_euclidean,True,-0.0491,221.2601,500,200
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,0,1,cond_euclidean,True,-0.0235,0.3513,400,100
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,0,1,hyperbolic,True,-0.0535,0.4134,400,100
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,0,2,bare_euclidean,True,0.1075,142.4363,350,50
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,0,2,cond_euclidean,True,0.0822,0.3057,600,300
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,0,2,hyperbolic,True,0.0943,0.3454,650,350
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,0,3,bare_euclidean,True,-0.0326,167.2947,400,100
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,0,3,cond_euclidean,True,-0.0174,0.2932,950,650
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,0,3,hyperbolic,True,-0.0291,0.4472,500,200
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,0,4,bare_euclidean,True,0.0147,215.0114,500,200
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,0,4,cond_euclidean,True,0.0404,0.3278,1100,800
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,0,4,hyperbolic,True,0.0202,0.3938,350,50
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,0,5,bare_euclidean,True,0.0175,228.0247,400,100
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,0,5,cond_euclidean,True,-0.0107,0.3086,650,350
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,0,5,hyperbolic,True,0.0293,0.3868,600,300
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,8,0,bare_euclidean,True,0.1457,0.3522,400,100
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,8,0,cond_euclidean,True,0.2227,0.3012,450,150
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,8,0,hyperbolic,True,0.2025,0.3469,1050,750
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,8,1,bare_euclidean,True,0.1017,0.3228,350,50
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,8,1,cond_euclidean,True,0.0729,0.2363,350,50
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,8,1,hyperbolic,True,0.0855,0.3041,350,50
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,8,2,bare_euclidean,True,0.1291,0.3251,400,100
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,8,2,cond_euclidean,True,0.1472,0.26,450,150
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,8,2,hyperbolic,True,0.1426,0.3631,1000,700
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,8,3,bare_euclidean,True,0.0956,0.3011,350,50
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,8,3,cond_euclidean,True,0.0788,0.2764,350,50
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,8,3,hyperbolic,True,0.1026,0.3166,450,150
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,8,4,bare_euclidean,True,0.124,0.3479,350,50
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,8,4,cond_euclidean,True,0.1755,0.3026,550,250
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,8,4,hyperbolic,True,0.0864,0.3206,550,250
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,8,5,bare_euclidean,True,0.1026,0.3162,400,100
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,8,5,cond_euclidean,True,0.0374,0.2762,650,350
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,8,5,hyperbolic,True,0.1557,0.2866,650,350
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,16,0,bare_euclidean,True,0.1737,0.3408,350,50
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,16,0,cond_euclidean,True,0.1729,0.3367,450,150
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,16,0,hyperbolic,True,0.2641,0.3014,1000,700
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,16,1,bare_euclidean,True,0.0949,0.3146,400,100
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,16,1,cond_euclidean,True,0.1532,0.2392,850,550
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,16,1,hyperbolic,True,0.094,0.2824,600,300
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,16,2,bare_euclidean,True,0.1517,0.3199,400,100
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,16,2,cond_euclidean,True,0.2083,0.2804,550,250
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,16,2,hyperbolic,True,0.1995,0.2743,1350,1050
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,16,3,bare_euclidean,True,0.0987,0.3069,400,100
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,16,3,cond_euclidean,True,0.1346,0.2394,550,250
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,16,3,hyperbolic,True,0.1287,0.302,750,450
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,16,4,bare_euclidean,True,0.1508,0.3224,350,50
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,16,4,cond_euclidean,True,0.0831,0.2922,500,200
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,16,4,hyperbolic,True,0.1306,0.3367,350,50
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,16,5,bare_euclidean,True,0.1262,0.2972,350,50
mistralai/Mistral-7B-v0.3,harm_beavertails,depth,16,5,cond_euclidean,True,0.0928,0.2641,450,150
