model,dataset,target,layer,seed,arm,whitened,rho,distortion,epochs_trained,best_epoch
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,0,0,bare_euclidean,True,0.0742,229.3541,650,350
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,0,0,cond_euclidean,True,0.0811,1.5886,600,300
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,0,0,hyperbolic,True,0.0685,1.5625,500,200
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,0,1,bare_euclidean,True,0.021,243.377,900,600
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,0,1,cond_euclidean,True,0.0418,1.5882,400,100
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,0,1,hyperbolic,True,0.051,1.5545,400,100
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,0,2,bare_euclidean,True,0.1169,158.7089,350,50
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,0,2,cond_euclidean,True,0.1316,1.6231,1300,1000
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,0,2,hyperbolic,True,0.1135,1.5987,800,500
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,0,3,bare_euclidean,True,0.1321,186.9532,350,50
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,0,3,cond_euclidean,True,0.1021,1.6812,400,100
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,0,3,hyperbolic,True,0.1256,1.6277,750,450
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,0,4,bare_euclidean,True,0.0448,239.1189,450,150
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,0,4,cond_euclidean,True,0.049,1.6665,850,550
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,0,4,hyperbolic,True,0.0586,1.6307,350,50
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,0,5,bare_euclidean,True,0.0444,254.6755,550,250
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,0,5,cond_euclidean,True,0.0453,1.6225,600,300
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,0,5,hyperbolic,True,0.0393,1.5727,350,50
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,8,0,bare_euclidean,True,0.2392,1.2012,900,600
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,8,0,cond_euclidean,True,0.1762,1.259,500,200
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,8,0,hyperbolic,True,0.1187,1.3648,350,50
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,8,1,bare_euclidean,True,0.2816,1.1926,450,150
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,8,1,cond_euclidean,True,0.2273,1.2049,1050,750
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,8,1,hyperbolic,True,0.1456,1.3252,350,50
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,8,2,bare_euclidean,True,0.359,1.0839,450,150
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,8,2,cond_euclidean,True,0.2464,1.1565,600,300
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,8,2,hyperbolic,True,0.1801,1.4878,600,300
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,8,3,bare_euclidean,True,0.2856,1.1447,450,150
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,8,3,cond_euclidean,True,0.289,1.0902,1400,1100
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,8,3,hyperbolic,True,0.2262,1.5071,450,150
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,8,4,bare_euclidean,True,0.1944,1.2043,650,350
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,8,4,cond_euclidean,True,0.1899,1.1939,550,250
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,8,4,hyperbolic,True,0.1921,1.3475,400,100
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,8,5,bare_euclidean,True,0.3173,1.1298,800,500
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,8,5,cond_euclidean,True,0.247,1.1469,1800,1500
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,8,5,hyperbolic,True,0.2308,1.4702,450,150
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,16,0,bare_euclidean,True,0.2221,1.236,450,150
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,16,0,cond_euclidean,True,0.1489,1.2504,1450,1150
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,16,0,hyperbolic,True,0.1898,1.3666,450,150
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,16,1,bare_euclidean,True,0.2675,1.2349,500,200
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,16,1,cond_euclidean,True,0.2679,1.1677,1800,1500
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,16,1,hyperbolic,True,0.2263,1.3147,450,150
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,16,2,bare_euclidean,True,0.3025,1.1234,1150,850
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,16,2,cond_euclidean,True,0.2374,1.1605,850,550
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,16,2,hyperbolic,True,0.2513,1.2453,350,50
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,16,3,bare_euclidean,True,0.226,1.1997,550,250
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,16,3,cond_euclidean,True,0.224,1.2032,500,200
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,16,3,hyperbolic,True,0.3637,1.2639,550,250
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,16,4,bare_euclidean,True,0.1664,1.2457,500,200
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,16,4,cond_euclidean,True,0.2542,1.1888,1150,850
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,16,4,hyperbolic,True,0.1467,1.3687,400,100
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,16,5,bare_euclidean,True,0.2519,1.2198,500,200
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,16,5,cond_euclidean,True,0.203,1.2249,750,450
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,16,5,hyperbolic,True,0.2331,1.5565,500,200
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,24,0,bare_euclidean,True,0.2432,1.2049,600,300
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,24,0,cond_euclidean,True,0.1848,1.1904,1350,1050
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,24,0,hyperbolic,True,0.2891,1.2687,700,400
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,24,1,bare_euclidean,True,0.3042,1.195,800,500
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,24,1,cond_euclidean,True,0.263,1.222,600,300
mistralai/Mistral-7B-v0.3,harm_beavertails,taxonomy,24,1,hyperbolic,True,0.1792,1.4605,400,100
