model,dataset,target,layer,seed,arm,whitened,rho,distortion,epochs_trained,best_epoch
Qwen/Qwen2.5-7B,harm_beavertails,depth,0,0,bare_euclidean,True,0.0865,1827.1146,450,150
Qwen/Qwen2.5-7B,harm_beavertails,depth,0,0,cond_euclidean,True,0.1268,0.3789,350,50
Qwen/Qwen2.5-7B,harm_beavertails,depth,0,0,hyperbolic,True,0.0917,0.5603,350,50
Qwen/Qwen2.5-7B,harm_beavertails,depth,0,1,bare_euclidean,True,0.0408,1441.0334,400,100
Qwen/Qwen2.5-7B,harm_beavertails,depth,0,1,cond_euclidean,True,0.054,0.3431,400,100
Qwen/Qwen2.5-7B,harm_beavertails,depth,0,1,hyperbolic,True,0.078,0.4957,550,250
Qwen/Qwen2.5-7B,harm_beavertails,depth,0,2,bare_euclidean,True,0.1495,1427.0771,500,200
Qwen/Qwen2.5-7B,harm_beavertails,depth,0,2,cond_euclidean,True,0.1195,0.3298,350,50
Qwen/Qwen2.5-7B,harm_beavertails,depth,0,2,hyperbolic,True,0.1913,0.3984,450,150
Qwen/Qwen2.5-7B,harm_beavertails,depth,0,3,bare_euclidean,True,0.128,711.7045,400,100
Qwen/Qwen2.5-7B,harm_beavertails,depth,0,3,cond_euclidean,True,0.1297,0.3508,800,500
Qwen/Qwen2.5-7B,harm_beavertails,depth,0,3,hyperbolic,True,0.1663,0.3907,600,300
Qwen/Qwen2.5-7B,harm_beavertails,depth,0,4,bare_euclidean,True,0.0552,1635.6529,350,50
Qwen/Qwen2.5-7B,harm_beavertails,depth,0,4,cond_euclidean,True,0.0918,0.3339,350,50
Qwen/Qwen2.5-7B,harm_beavertails,depth,0,4,hyperbolic,True,0.0485,0.4534,550,250
Qwen/Qwen2.5-7B,harm_beavertails,depth,0,5,bare_euclidean,True,0.0517,508.7819,350,50
Qwen/Qwen2.5-7B,harm_beavertails,depth,0,5,cond_euclidean,True,0.1108,0.2648,450,150
Qwen/Qwen2.5-7B,harm_beavertails,depth,0,5,hyperbolic,True,0.0831,0.6351,350,50
Qwen/Qwen2.5-7B,harm_beavertails,depth,7,0,bare_euclidean,True,0.0743,0.3169,350,50
Qwen/Qwen2.5-7B,harm_beavertails,depth,7,0,cond_euclidean,True,0.1657,0.3071,750,450
Qwen/Qwen2.5-7B,harm_beavertails,depth,7,0,hyperbolic,True,0.1598,0.3486,400,100
Qwen/Qwen2.5-7B,harm_beavertails,depth,7,1,bare_euclidean,True,0.1073,0.2823,350,50
Qwen/Qwen2.5-7B,harm_beavertails,depth,7,1,cond_euclidean,True,0.0507,0.2957,500,200
Qwen/Qwen2.5-7B,harm_beavertails,depth,7,1,hyperbolic,True,0.1176,0.3232,500,200
Qwen/Qwen2.5-7B,harm_beavertails,depth,7,2,bare_euclidean,True,0.087,0.3065,350,50
Qwen/Qwen2.5-7B,harm_beavertails,depth,7,2,cond_euclidean,True,0.0972,0.3447,850,550
Qwen/Qwen2.5-7B,harm_beavertails,depth,7,2,hyperbolic,True,0.1218,0.3252,350,50
Qwen/Qwen2.5-7B,harm_beavertails,depth,7,3,bare_euclidean,True,0.1675,0.2644,350,50
Qwen/Qwen2.5-7B,harm_beavertails,depth,7,3,cond_euclidean,True,0.1569,0.2784,450,150
Qwen/Qwen2.5-7B,harm_beavertails,depth,7,3,hyperbolic,True,0.1594,0.2924,500,200
Qwen/Qwen2.5-7B,harm_beavertails,depth,7,4,bare_euclidean,True,0.1648,0.3132,350,50
Qwen/Qwen2.5-7B,harm_beavertails,depth,7,4,cond_euclidean,True,0.2304,0.378,900,600
Qwen/Qwen2.5-7B,harm_beavertails,depth,7,4,hyperbolic,True,0.1708,0.355,400,100
Qwen/Qwen2.5-7B,harm_beavertails,depth,7,5,bare_euclidean,True,0.1733,0.2558,350,50
Qwen/Qwen2.5-7B,harm_beavertails,depth,7,5,cond_euclidean,True,0.2162,0.2347,650,350
Qwen/Qwen2.5-7B,harm_beavertails,depth,7,5,hyperbolic,True,0.2505,0.2612,850,550
Qwen/Qwen2.5-7B,harm_beavertails,depth,14,0,bare_euclidean,True,0.2228,0.3084,400,100
Qwen/Qwen2.5-7B,harm_beavertails,depth,14,0,cond_euclidean,True,0.2694,0.2713,950,650
Qwen/Qwen2.5-7B,harm_beavertails,depth,14,0,hyperbolic,True,0.3127,0.3319,1000,700
Qwen/Qwen2.5-7B,harm_beavertails,depth,14,1,bare_euclidean,True,0.1584,0.3015,400,100
Qwen/Qwen2.5-7B,harm_beavertails,depth,14,1,cond_euclidean,True,0.2417,0.2705,700,400
Qwen/Qwen2.5-7B,harm_beavertails,depth,14,1,hyperbolic,True,0.1868,0.2659,800,500
Qwen/Qwen2.5-7B,harm_beavertails,depth,14,2,bare_euclidean,True,0.1885,0.3083,550,250
Qwen/Qwen2.5-7B,harm_beavertails,depth,14,2,cond_euclidean,True,0.2321,0.3169,950,650
Qwen/Qwen2.5-7B,harm_beavertails,depth,14,2,hyperbolic,True,0.3296,0.4384,2500,2200
Qwen/Qwen2.5-7B,harm_beavertails,depth,14,3,bare_euclidean,True,0.2919,0.2535,400,100
Qwen/Qwen2.5-7B,harm_beavertails,depth,14,3,cond_euclidean,True,0.3303,0.1947,600,300
Qwen/Qwen2.5-7B,harm_beavertails,depth,14,3,hyperbolic,True,0.3677,0.2253,1000,700
Qwen/Qwen2.5-7B,harm_beavertails,depth,14,4,bare_euclidean,True,0.3304,0.3003,450,150
Qwen/Qwen2.5-7B,harm_beavertails,depth,14,4,cond_euclidean,True,0.3826,0.2393,600,300
Qwen/Qwen2.5-7B,harm_beavertails,depth,14,4,hyperbolic,True,0.3948,0.2719,2350,2050
Qwen/Qwen2.5-7B,harm_beavertails,depth,14,5,bare_euclidean,True,0.2743,0.27,400,100
Qwen/Qwen2.5-7B,harm_beavertails,depth,14,5,cond_euclidean,True,0.2524,0.2014,400,100
Qwen/Qwen2.5-7B,harm_beavertails,depth,14,5,hyperbolic,True,0.2604,0.219,700,400
Qwen/Qwen2.5-7B,harm_beavertails,depth,21,0,bare_euclidean,True,0.1894,0.3186,400,100
Qwen/Qwen2.5-7B,harm_beavertails,depth,21,0,cond_euclidean,True,0.1657,0.2936,450,150
Qwen/Qwen2.5-7B,harm_beavertails,depth,21,0,hyperbolic,True,0.2257,0.2844,1100,800
Qwen/Qwen2.5-7B,harm_beavertails,depth,21,1,bare_euclidean,True,0.1391,0.3171,550,250
Qwen/Qwen2.5-7B,harm_beavertails,depth,21,1,cond_euclidean,True,0.2916,0.2347,550,250
Qwen/Qwen2.5-7B,harm_beavertails,depth,21,1,hyperbolic,True,0.2189,0.2824,900,600
Qwen/Qwen2.5-7B,harm_beavertails,depth,21,2,bare_euclidean,True,0.1319,0.3281,400,100
Qwen/Qwen2.5-7B,harm_beavertails,depth,21,2,cond_euclidean,True,0.1832,0.278,700,400
Qwen/Qwen2.5-7B,harm_beavertails,depth,21,2,hyperbolic,True,0.1609,0.3305,600,300
Qwen/Qwen2.5-7B,harm_beavertails,depth,21,3,bare_euclidean,True,0.2156,0.2652,350,50
Qwen/Qwen2.5-7B,harm_beavertails,depth,21,3,cond_euclidean,True,0.2515,0.2463,450,150
Qwen/Qwen2.5-7B,harm_beavertails,depth,21,3,hyperbolic,True,0.299,0.2774,750,450
Qwen/Qwen2.5-7B,harm_beavertails,depth,21,4,bare_euclidean,True,0.309,0.3101,450,150
Qwen/Qwen2.5-7B,harm_beavertails,depth,21,4,cond_euclidean,True,0.3194,0.2608,700,400
Qwen/Qwen2.5-7B,harm_beavertails,depth,21,4,hyperbolic,True,0.3128,0.344,500,200
Qwen/Qwen2.5-7B,harm_beavertails,depth,21,5,bare_euclidean,True,0.2727,0.2767,350,50
Qwen/Qwen2.5-7B,harm_beavertails,depth,21,5,cond_euclidean,True,0.2238,0.193,400,100
Qwen/Qwen2.5-7B,harm_beavertails,depth,21,5,hyperbolic,True,0.2885,0.2521,1400,1100
Qwen/Qwen2.5-7B,harm_beavertails,depth,27,0,bare_euclidean,True,0.1886,0.3149,400,100
Qwen/Qwen2.5-7B,harm_beavertails,depth,27,0,cond_euclidean,True,0.1272,0.2976,450,150
Qwen/Qwen2.5-7B,harm_beavertails,depth,27,0,hyperbolic,True,0.1899,0.3068,450,150
Qwen/Qwen2.5-7B,harm_beavertails,depth,27,1,bare_euclidean,True,0.1333,0.308,350,50
