model,dataset,target,layer,seed,arm,whitened,rho,distortion,epochs_trained,best_epoch
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,0,0,bare_euclidean,True,0.0385,1965.9508,350,50
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,0,0,cond_euclidean,True,0.0792,1.4595,1350,1050
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,0,0,hyperbolic,True,0.0704,1.2939,350,50
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,0,1,bare_euclidean,True,0.1697,1542.0401,350,50
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,0,1,cond_euclidean,True,0.0463,1.3982,850,550
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,0,1,hyperbolic,True,0.0781,1.2804,500,200
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,0,2,bare_euclidean,True,0.1752,1549.6159,350,50
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,0,2,cond_euclidean,True,0.0301,1.3683,800,500
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,0,2,hyperbolic,True,0.1034,1.2373,450,150
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,0,3,bare_euclidean,True,0.1371,759.5998,1000,700
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,0,3,cond_euclidean,True,0.1901,1.3426,2650,2350
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,0,3,hyperbolic,True,0.1688,1.2647,400,100
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,0,4,bare_euclidean,True,0.0673,1743.479,350,50
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,0,4,cond_euclidean,True,0.1343,1.4409,700,400
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,0,4,hyperbolic,True,0.1162,1.2759,650,350
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,0,5,bare_euclidean,True,0.0955,547.6257,450,150
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,0,5,cond_euclidean,True,0.0498,1.4407,1550,1250
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,0,5,hyperbolic,True,0.081,1.3487,450,150
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,7,0,bare_euclidean,True,0.0725,1.3937,400,100
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,7,0,cond_euclidean,True,0.1101,1.2959,1100,800
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,7,0,hyperbolic,True,0.1584,1.3731,350,50
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,7,1,bare_euclidean,True,0.0441,1.3863,350,50
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,7,1,cond_euclidean,True,0.1286,1.2705,1500,1200
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,7,1,hyperbolic,True,0.1863,1.4928,950,650
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,7,2,bare_euclidean,True,0.0765,1.3092,750,450
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,7,2,cond_euclidean,True,0.0641,1.2833,500,200
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,7,2,hyperbolic,True,0.1169,1.4471,400,100
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,7,3,bare_euclidean,True,0.2171,1.2608,1200,900
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,7,3,cond_euclidean,True,0.1588,1.2826,1300,1000
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,7,3,hyperbolic,True,0.2161,1.3972,500,200
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,7,4,bare_euclidean,True,0.0933,1.3254,350,50
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,7,4,cond_euclidean,True,0.0611,1.2969,400,100
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,7,4,hyperbolic,True,0.1655,1.6066,950,650
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,7,5,bare_euclidean,True,0.0593,1.3953,500,200
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,7,5,cond_euclidean,True,0.1009,1.2753,1000,700
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,7,5,hyperbolic,True,0.1078,1.5249,700,400
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,14,0,bare_euclidean,True,0.2872,1.1696,600,300
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,14,0,cond_euclidean,True,0.2294,1.2105,1000,700
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,14,0,hyperbolic,True,0.3093,1.2982,400,100
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,14,1,bare_euclidean,True,0.2412,1.2018,550,250
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,14,1,cond_euclidean,True,0.2593,1.16,1200,900
Qwen/Qwen2.5-7B,harm_beavertails,taxonomy,14,1,hyperbolic,True,0.2517,1.3548,750,450
