model,dataset,target,layer,seed,arm,whitened,rho,distortion,epochs_trained,best_epoch
Qwen/Qwen2.5-7B,harm_taxonomy,depth,0,0,bare_euclidean,True,0.0522,1442.5296,350,50
Qwen/Qwen2.5-7B,harm_taxonomy,depth,0,0,cond_euclidean,True,0.0376,0.2855,350,50
Qwen/Qwen2.5-7B,harm_taxonomy,depth,0,0,hyperbolic,True,0.0871,0.3053,900,600
Qwen/Qwen2.5-7B,harm_taxonomy,depth,0,1,bare_euclidean,True,-0.0247,988.3324,550,250
Qwen/Qwen2.5-7B,harm_taxonomy,depth,0,1,cond_euclidean,True,-0.0273,0.2274,1400,1100
Qwen/Qwen2.5-7B,harm_taxonomy,depth,0,1,hyperbolic,True,-0.0308,0.2868,400,100
Qwen/Qwen2.5-7B,harm_taxonomy,depth,0,2,bare_euclidean,True,0.0279,1464.3619,350,50
Qwen/Qwen2.5-7B,harm_taxonomy,depth,0,2,cond_euclidean,True,0.0691,0.2394,350,50
Qwen/Qwen2.5-7B,harm_taxonomy,depth,0,2,hyperbolic,True,0.0447,0.4065,350,50
Qwen/Qwen2.5-7B,harm_taxonomy,depth,0,3,bare_euclidean,True,0.0651,1336.4238,350,50
Qwen/Qwen2.5-7B,harm_taxonomy,depth,0,3,cond_euclidean,True,0.0069,0.265,350,50
Qwen/Qwen2.5-7B,harm_taxonomy,depth,0,3,hyperbolic,True,0.0425,0.2938,350,50
Qwen/Qwen2.5-7B,harm_taxonomy,depth,0,4,bare_euclidean,True,0.0212,1828.0214,400,100
Qwen/Qwen2.5-7B,harm_taxonomy,depth,0,4,cond_euclidean,True,0.0587,0.3476,400,100
Qwen/Qwen2.5-7B,harm_taxonomy,depth,0,4,hyperbolic,True,0.0238,0.7026,350,50
Qwen/Qwen2.5-7B,harm_taxonomy,depth,0,5,bare_euclidean,True,0.0742,938.5599,350,50
Qwen/Qwen2.5-7B,harm_taxonomy,depth,0,5,cond_euclidean,True,0.027,0.2459,350,50
Qwen/Qwen2.5-7B,harm_taxonomy,depth,0,5,hyperbolic,True,0.0643,0.4309,400,100
Qwen/Qwen2.5-7B,harm_taxonomy,depth,7,0,bare_euclidean,True,0.0963,0.1946,750,450
Qwen/Qwen2.5-7B,harm_taxonomy,depth,7,0,cond_euclidean,True,0.1584,0.1924,900,600
Qwen/Qwen2.5-7B,harm_taxonomy,depth,7,0,hyperbolic,True,0.0204,0.2193,400,100
Qwen/Qwen2.5-7B,harm_taxonomy,depth,7,1,bare_euclidean,True,-0.0076,0.1787,400,100
Qwen/Qwen2.5-7B,harm_taxonomy,depth,7,1,cond_euclidean,True,-0.0604,0.2214,400,100
Qwen/Qwen2.5-7B,harm_taxonomy,depth,7,1,hyperbolic,True,0.0417,0.2157,900,600
Qwen/Qwen2.5-7B,harm_taxonomy,depth,7,2,bare_euclidean,True,0.0301,0.1835,350,50
Qwen/Qwen2.5-7B,harm_taxonomy,depth,7,2,cond_euclidean,True,-0.0007,0.1875,800,500
Qwen/Qwen2.5-7B,harm_taxonomy,depth,7,2,hyperbolic,True,0.075,0.2335,450,150
Qwen/Qwen2.5-7B,harm_taxonomy,depth,7,3,bare_euclidean,True,0.0133,0.2074,350,50
Qwen/Qwen2.5-7B,harm_taxonomy,depth,7,3,cond_euclidean,True,0.0672,0.2421,350,50
Qwen/Qwen2.5-7B,harm_taxonomy,depth,7,3,hyperbolic,True,0.0217,0.2425,450,150
Qwen/Qwen2.5-7B,harm_taxonomy,depth,7,4,bare_euclidean,True,0.0501,0.1837,400,100
Qwen/Qwen2.5-7B,harm_taxonomy,depth,7,4,cond_euclidean,True,0.1299,0.2037,650,350
Qwen/Qwen2.5-7B,harm_taxonomy,depth,7,4,hyperbolic,True,0.0804,0.2273,350,50
Qwen/Qwen2.5-7B,harm_taxonomy,depth,7,5,bare_euclidean,True,0.1284,0.2204,500,200
Qwen/Qwen2.5-7B,harm_taxonomy,depth,7,5,cond_euclidean,True,0.1547,0.196,500,200
Qwen/Qwen2.5-7B,harm_taxonomy,depth,7,5,hyperbolic,True,0.117,0.2523,550,250
Qwen/Qwen2.5-7B,harm_taxonomy,depth,14,0,bare_euclidean,True,0.1416,0.1941,400,100
