model,dataset,target,layer,seed,arm,whitened,rho,distortion,epochs_trained,best_epoch
Qwen/Qwen2.5-7B,harm_taxonomy,taxonomy,0,0,bare_euclidean,True,0.1156,1586.5565,350,50
Qwen/Qwen2.5-7B,harm_taxonomy,taxonomy,0,0,cond_euclidean,True,0.0379,1.3477,1250,950
Qwen/Qwen2.5-7B,harm_taxonomy,taxonomy,0,0,hyperbolic,True,0.1014,1.2354,1200,900
Qwen/Qwen2.5-7B,harm_taxonomy,taxonomy,0,1,bare_euclidean,True,0.0544,1088.3737,650,350
Qwen/Qwen2.5-7B,harm_taxonomy,taxonomy,0,1,cond_euclidean,True,0.0496,1.3247,1300,1000
Qwen/Qwen2.5-7B,harm_taxonomy,taxonomy,0,1,hyperbolic,True,0.1035,1.1812,350,50
Qwen/Qwen2.5-7B,harm_taxonomy,taxonomy,0,2,bare_euclidean,True,-0.0269,1610.8412,750,450
Qwen/Qwen2.5-7B,harm_taxonomy,taxonomy,0,2,cond_euclidean,True,0.0304,1.4572,350,50
Qwen/Qwen2.5-7B,harm_taxonomy,taxonomy,0,2,hyperbolic,True,0.0555,1.3193,450,150
Qwen/Qwen2.5-7B,harm_taxonomy,taxonomy,0,3,bare_euclidean,True,0.069,1471.2487,450,150
Qwen/Qwen2.5-7B,harm_taxonomy,taxonomy,0,3,cond_euclidean,True,0.0056,1.3638,950,650
Qwen/Qwen2.5-7B,harm_taxonomy,taxonomy,0,3,hyperbolic,True,0.0516,1.1725,850,550
Qwen/Qwen2.5-7B,harm_taxonomy,taxonomy,0,4,bare_euclidean,True,-0.0211,2015.4572,400,100
Qwen/Qwen2.5-7B,harm_taxonomy,taxonomy,0,4,cond_euclidean,True,0.0437,1.4009,500,200
Qwen/Qwen2.5-7B,harm_taxonomy,taxonomy,0,4,hyperbolic,True,0.0708,1.2216,400,100
Qwen/Qwen2.5-7B,harm_taxonomy,taxonomy,0,5,bare_euclidean,True,0.1238,1030.7763,1050,750
Qwen/Qwen2.5-7B,harm_taxonomy,taxonomy,0,5,cond_euclidean,True,0.0579,1.3025,900,600
Qwen/Qwen2.5-7B,harm_taxonomy,taxonomy,0,5,hyperbolic,True,0.0885,1.1582,700,400
Qwen/Qwen2.5-7B,harm_taxonomy,taxonomy,7,0,bare_euclidean,True,0.1001,1.2105,350,50
Qwen/Qwen2.5-7B,harm_taxonomy,taxonomy,7,0,cond_euclidean,True,0.0994,1.1874,950,650
Qwen/Qwen2.5-7B,harm_taxonomy,taxonomy,7,0,hyperbolic,True,0.1777,1.0415,400,100
Qwen/Qwen2.5-7B,harm_taxonomy,taxonomy,7,1,bare_euclidean,True,0.0889,1.2618,400,100
Qwen/Qwen2.5-7B,harm_taxonomy,taxonomy,7,1,cond_euclidean,True,0.0867,1.2222,1000,700
Qwen/Qwen2.5-7B,harm_taxonomy,taxonomy,7,1,hyperbolic,True,0.1447,1.0753,1050,750
Qwen/Qwen2.5-7B,harm_taxonomy,taxonomy,7,2,bare_euclidean,True,0.039,1.3119,400,100
Qwen/Qwen2.5-7B,harm_taxonomy,taxonomy,7,2,cond_euclidean,True,0.0166,1.3457,400,100
Qwen/Qwen2.5-7B,harm_taxonomy,taxonomy,7,2,hyperbolic,True,0.0669,1.3044,450,150
Qwen/Qwen2.5-7B,harm_taxonomy,taxonomy,7,3,bare_euclidean,True,0.052,1.2824,450,150
Qwen/Qwen2.5-7B,harm_taxonomy,taxonomy,7,3,cond_euclidean,True,0.0728,1.236,1500,1200
Qwen/Qwen2.5-7B,harm_taxonomy,taxonomy,7,3,hyperbolic,True,0.1262,1.0872,450,150
Qwen/Qwen2.5-7B,harm_taxonomy,taxonomy,7,4,bare_euclidean,True,0.0162,1.2764,350,50
Qwen/Qwen2.5-7B,harm_taxonomy,taxonomy,7,4,cond_euclidean,True,0.0349,1.273,650,350
Qwen/Qwen2.5-7B,harm_taxonomy,taxonomy,7,4,hyperbolic,True,0.0422,1.1951,500,200
Qwen/Qwen2.5-7B,harm_taxonomy,taxonomy,7,5,bare_euclidean,True,0.1086,1.2333,550,250
