model,arm,naming,branching,role,layer,radial_depth_rho,radial_depth_absrho,n_prompts
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,0,0.4593,0.4669,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,4,0.1337,0.223,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,8,0.6538,0.6538,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,12,0.3915,0.4113,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,16,0.2657,0.2931,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,20,0.68,0.68,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,24,0.4907,0.5034,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,premise,28,0.2524,0.3397,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,last,0,0.4593,0.4669,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,last,4,0.1381,0.2238,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,last,8,0.6371,0.6371,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,last,12,0.3585,0.3915,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,last,16,0.2544,0.2802,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,last,20,0.6405,0.6405,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,last,24,0.4173,0.4383,18
Qwen/Qwen2.5-7B,causes_b2,causes,2,last,28,0.1216,0.3272,18
Qwen/Qwen2.5-7B,flat_set_b2,flat_set,2,premise,0,0.5579,0.5579,18
Qwen/Qwen2.5-7B,flat_set_b2,flat_set,2,premise,4,-0.1232,0.2244,18
Qwen/Qwen2.5-7B,flat_set_b2,flat_set,2,premise,8,-0.0929,0.2361,18
Qwen/Qwen2.5-7B,flat_set_b2,flat_set,2,premise,12,-0.0919,0.2891,18
Qwen/Qwen2.5-7B,flat_set_b2,flat_set,2,premise,16,-0.1292,0.2319,18
Qwen/Qwen2.5-7B,flat_set_b2,flat_set,2,premise,20,0.0817,0.1706,18
Qwen/Qwen2.5-7B,flat_set_b2,flat_set,2,premise,24,0.0687,0.1726,18
Qwen/Qwen2.5-7B,flat_set_b2,flat_set,2,premise,28,0.0337,0.2472,18
Qwen/Qwen2.5-7B,flat_set_b2,flat_set,2,last,0,0.5579,0.5579,18
Qwen/Qwen2.5-7B,flat_set_b2,flat_set,2,last,4,-0.1157,0.2292,18
Qwen/Qwen2.5-7B,flat_set_b2,flat_set,2,last,8,-0.0629,0.253,18
Qwen/Qwen2.5-7B,flat_set_b2,flat_set,2,last,12,-0.0524,0.2869,18
Qwen/Qwen2.5-7B,flat_set_b2,flat_set,2,last,16,-0.0504,0.2317,18
Qwen/Qwen2.5-7B,flat_set_b2,flat_set,2,last,20,0.0742,0.156,18
Qwen/Qwen2.5-7B,flat_set_b2,flat_set,2,last,24,0.0704,0.1696,18
Qwen/Qwen2.5-7B,flat_set_b2,flat_set,2,last,28,0.0139,0.2325,18
Qwen/Qwen2.5-7B,is_a_b2,is_a,2,premise,0,0.4292,0.4351,18
Qwen/Qwen2.5-7B,is_a_b2,is_a,2,premise,4,0.0756,0.2736,18
Qwen/Qwen2.5-7B,is_a_b2,is_a,2,premise,8,0.6323,0.6323,18
Qwen/Qwen2.5-7B,is_a_b2,is_a,2,premise,12,0.4397,0.4532,18
