model,arm,naming,branching,role,layer,radial_depth_rho,radial_depth_absrho,n_prompts
Qwen/Qwen2.5-1.5B,fictional_b1,fictional,1,premise,0,0.5484,0.5484,18
Qwen/Qwen2.5-1.5B,fictional_b1,fictional,1,premise,4,-0.0679,0.2052,18
Qwen/Qwen2.5-1.5B,fictional_b1,fictional,1,premise,8,-0.0905,0.246,18
Qwen/Qwen2.5-1.5B,fictional_b1,fictional,1,premise,12,0.0752,0.2288,18
Qwen/Qwen2.5-1.5B,fictional_b1,fictional,1,premise,16,-0.1179,0.1417,18
Qwen/Qwen2.5-1.5B,fictional_b1,fictional,1,premise,20,0.1188,0.1835,18
Qwen/Qwen2.5-1.5B,fictional_b1,fictional,1,premise,24,-0.0849,0.2298,18
Qwen/Qwen2.5-1.5B,fictional_b1,fictional,1,premise,28,0.2431,0.2593,18
Qwen/Qwen2.5-1.5B,fictional_b1,fictional,1,last,0,0.5484,0.5484,18
Qwen/Qwen2.5-1.5B,fictional_b1,fictional,1,last,4,-0.0653,0.2153,18
Qwen/Qwen2.5-1.5B,fictional_b1,fictional,1,last,8,-0.0851,0.22,18
Qwen/Qwen2.5-1.5B,fictional_b1,fictional,1,last,12,0.0524,0.1544,18
Qwen/Qwen2.5-1.5B,fictional_b1,fictional,1,last,16,-0.1355,0.1435,18
Qwen/Qwen2.5-1.5B,fictional_b1,fictional,1,last,20,0.1149,0.1851,18
Qwen/Qwen2.5-1.5B,fictional_b1,fictional,1,last,24,-0.1163,0.2413,18
Qwen/Qwen2.5-1.5B,fictional_b1,fictional,1,last,28,0.2435,0.2502,18
Qwen/Qwen2.5-1.5B,fictional_b2,fictional,2,premise,0,0.5254,0.5254,18
Qwen/Qwen2.5-1.5B,fictional_b2,fictional,2,premise,4,0.0341,0.2036,18
Qwen/Qwen2.5-1.5B,fictional_b2,fictional,2,premise,8,0.5593,0.5593,18
Qwen/Qwen2.5-1.5B,fictional_b2,fictional,2,premise,12,0.6788,0.6788,18
Qwen/Qwen2.5-1.5B,fictional_b2,fictional,2,premise,16,0.1917,0.2599,18
Qwen/Qwen2.5-1.5B,fictional_b2,fictional,2,premise,20,0.6944,0.6944,18
Qwen/Qwen2.5-1.5B,fictional_b2,fictional,2,premise,24,0.2758,0.3401,18
Qwen/Qwen2.5-1.5B,fictional_b2,fictional,2,premise,28,0.3637,0.3637,18
Qwen/Qwen2.5-1.5B,fictional_b2,fictional,2,last,0,0.5254,0.5254,18
Qwen/Qwen2.5-1.5B,fictional_b2,fictional,2,last,4,0.0298,0.2028,18
Qwen/Qwen2.5-1.5B,fictional_b2,fictional,2,last,8,0.527,0.527,18
Qwen/Qwen2.5-1.5B,fictional_b2,fictional,2,last,12,0.6381,0.6381,18
Qwen/Qwen2.5-1.5B,fictional_b2,fictional,2,last,16,0.1722,0.2437,18
Qwen/Qwen2.5-1.5B,fictional_b2,fictional,2,last,20,0.6323,0.6323,18
Qwen/Qwen2.5-1.5B,fictional_b2,fictional,2,last,24,0.2317,0.3187,18
Qwen/Qwen2.5-1.5B,fictional_b2,fictional,2,last,28,0.301,0.3109,18
Qwen/Qwen2.5-1.5B,fictional_b3,fictional,3,premise,0,0.4407,0.4407,18
Qwen/Qwen2.5-1.5B,fictional_b3,fictional,3,premise,4,0.0944,0.1849,18
Qwen/Qwen2.5-1.5B,fictional_b3,fictional,3,premise,8,0.4744,0.4744,18
Qwen/Qwen2.5-1.5B,fictional_b3,fictional,3,premise,12,0.5524,0.5524,18
Qwen/Qwen2.5-1.5B,fictional_b3,fictional,3,premise,16,0.1252,0.2601,18
Qwen/Qwen2.5-1.5B,fictional_b3,fictional,3,premise,20,0.5935,0.5935,18
Qwen/Qwen2.5-1.5B,fictional_b3,fictional,3,premise,24,0.0869,0.3254,18
Qwen/Qwen2.5-1.5B,fictional_b3,fictional,3,premise,28,0.3286,0.3413,18
Qwen/Qwen2.5-1.5B,fictional_b3,fictional,3,last,0,0.4407,0.4407,18
Qwen/Qwen2.5-1.5B,fictional_b3,fictional,3,last,4,0.0933,0.1925,18
Qwen/Qwen2.5-1.5B,fictional_b3,fictional,3,last,8,0.4429,0.4429,18
Qwen/Qwen2.5-1.5B,fictional_b3,fictional,3,last,12,0.4942,0.4942,18
Qwen/Qwen2.5-1.5B,fictional_b3,fictional,3,last,16,0.1046,0.2514,18
Qwen/Qwen2.5-1.5B,fictional_b3,fictional,3,last,20,0.5185,0.5185,18
Qwen/Qwen2.5-1.5B,fictional_b3,fictional,3,last,24,0.0518,0.3323,18
Qwen/Qwen2.5-1.5B,fictional_b3,fictional,3,last,28,0.2839,0.2907,18
Qwen/Qwen2.5-1.5B,real_b2,real,2,premise,0,-0.1389,0.3095,18
Qwen/Qwen2.5-1.5B,real_b2,real,2,premise,4,0.5713,0.59,18
Qwen/Qwen2.5-1.5B,real_b2,real,2,premise,8,0.6588,0.6588,18
Qwen/Qwen2.5-1.5B,real_b2,real,2,premise,12,0.6467,0.6467,18
Qwen/Qwen2.5-1.5B,real_b2,real,2,premise,16,0.2169,0.321,18
Qwen/Qwen2.5-1.5B,real_b2,real,2,premise,20,0.6421,0.6421,18
Qwen/Qwen2.5-1.5B,real_b2,real,2,premise,24,0.459,0.459,18
Qwen/Qwen2.5-1.5B,real_b2,real,2,premise,28,0.2781,0.3549,18
Qwen/Qwen2.5-1.5B,real_b2,real,2,last,0,-0.1389,0.3095,18
Qwen/Qwen2.5-1.5B,real_b2,real,2,last,4,0.5738,0.5944,18
Qwen/Qwen2.5-1.5B,real_b2,real,2,last,8,0.6471,0.6471,18
Qwen/Qwen2.5-1.5B,real_b2,real,2,last,12,0.6545,0.6545,18
Qwen/Qwen2.5-1.5B,real_b2,real,2,last,16,0.2386,0.3432,18
Qwen/Qwen2.5-1.5B,real_b2,real,2,last,20,0.6322,0.6322,18
Qwen/Qwen2.5-1.5B,real_b2,real,2,last,24,0.462,0.462,18
Qwen/Qwen2.5-1.5B,real_b2,real,2,last,28,0.2025,0.2491,18
