model,arm,naming,branching,role,layer,radial_depth_rho,radial_depth_absrho,n_prompts
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,0,0.471,0.471,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,4,0.1377,0.2615,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,8,0.0812,0.2581,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,12,0.0317,0.256,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,16,0.124,0.2601,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,20,0.1071,0.2933,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,24,-0.0466,0.2458,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,28,0.0988,0.175,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,32,0.1601,0.2438,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,36,0.0133,0.1867,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,40,0.2202,0.2377,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,44,0.2528,0.277,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,premise,48,-0.1252,0.2006,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,last,0,0.471,0.471,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,last,4,0.1337,0.2607,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,last,8,0.0802,0.2532,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,last,12,0.0103,0.1996,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,last,16,0.1137,0.2708,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,last,20,0.0833,0.2452,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,last,24,-0.0712,0.2462,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,last,28,0.0766,0.1992,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,last,32,0.1268,0.1891,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,last,36,0.005,0.1827,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,last,40,0.1938,0.2216,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,last,44,0.22,0.2458,18
Qwen/Qwen2.5-14B,fictional_b1,fictional,1,last,48,-0.129,0.2206,18
Qwen/Qwen2.5-14B,fictional_b2,fictional,2,premise,0,0.5105,0.5105,18
Qwen/Qwen2.5-14B,fictional_b2,fictional,2,premise,4,-0.1,0.2706,18
Qwen/Qwen2.5-14B,fictional_b2,fictional,2,premise,8,0.2202,0.3032,18
Qwen/Qwen2.5-14B,fictional_b2,fictional,2,premise,12,0.6083,0.6083,18
Qwen/Qwen2.5-14B,fictional_b2,fictional,2,premise,16,0.6381,0.6381,18
Qwen/Qwen2.5-14B,fictional_b2,fictional,2,premise,20,0.6776,0.6776,18
Qwen/Qwen2.5-14B,fictional_b2,fictional,2,premise,24,-0.095,0.2315,18
Qwen/Qwen2.5-14B,fictional_b2,fictional,2,premise,28,0.1448,0.2512,18
Qwen/Qwen2.5-14B,fictional_b2,fictional,2,premise,32,0.5746,0.5746,18
Qwen/Qwen2.5-14B,fictional_b2,fictional,2,premise,36,0.7282,0.7282,18
