model,arm,naming,branching,role,layer,radial_depth_rho,radial_depth_absrho,n_prompts
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b1,fictional,1,premise,0,0.471,0.471,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b1,fictional,1,premise,4,-0.0423,0.2613,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b1,fictional,1,premise,8,0.0714,0.2131,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b1,fictional,1,premise,12,0.0748,0.2081,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b1,fictional,1,premise,16,0.1494,0.2185,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b1,fictional,1,premise,20,0.1663,0.1734,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b1,fictional,1,premise,24,0.0413,0.1925,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b1,fictional,1,premise,28,0.0915,0.2935,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b1,fictional,1,last,0,0.471,0.471,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b1,fictional,1,last,4,-0.0452,0.2643,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b1,fictional,1,last,8,0.0528,0.2278,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b1,fictional,1,last,12,0.0714,0.194,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b1,fictional,1,last,16,0.1284,0.2252,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b1,fictional,1,last,20,0.1431,0.1724,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b1,fictional,1,last,24,0.023,0.2,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b1,fictional,1,last,28,0.0317,0.2337,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b2,fictional,2,premise,0,0.5105,0.5105,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b2,fictional,2,premise,4,0.2081,0.2696,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b2,fictional,2,premise,8,0.5526,0.5526,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b2,fictional,2,premise,12,0.6377,0.6377,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b2,fictional,2,premise,16,0.1175,0.1853,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b2,fictional,2,premise,20,0.2042,0.2796,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b2,fictional,2,premise,24,0.0431,0.2621,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b2,fictional,2,premise,28,-0.0837,0.1913,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b2,fictional,2,last,0,0.5105,0.5105,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b2,fictional,2,last,4,0.1875,0.2514,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b2,fictional,2,last,8,0.5165,0.5165,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b2,fictional,2,last,12,0.5948,0.5948,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b2,fictional,2,last,16,0.1111,0.1746,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b2,fictional,2,last,20,0.1736,0.2327,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b2,fictional,2,last,24,0.0214,0.248,18
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fictional_b2,fictional,2,last,28,-0.1085,0.1946,18
