model,dataset,layer,rel_depth,median_delta_rel,n_prompts
Qwen/Qwen2.5-7B,prontoqa,0,0.0,0.0772,200
Qwen/Qwen2.5-7B,prontoqa,1,0.036,0.0374,200
Qwen/Qwen2.5-7B,prontoqa,2,0.071,0.0444,200
Qwen/Qwen2.5-7B,prontoqa,3,0.107,0.0543,200
Qwen/Qwen2.5-7B,prontoqa,4,0.143,0.0004,200
Qwen/Qwen2.5-7B,prontoqa,5,0.179,0.0003,200
Qwen/Qwen2.5-7B,prontoqa,6,0.214,0.0004,200
Qwen/Qwen2.5-7B,prontoqa,7,0.25,0.0004,200
Qwen/Qwen2.5-7B,prontoqa,8,0.286,0.0005,200
Qwen/Qwen2.5-7B,prontoqa,9,0.321,0.0006,200
Qwen/Qwen2.5-7B,prontoqa,10,0.357,0.0005,200
Qwen/Qwen2.5-7B,prontoqa,11,0.393,0.0005,200
Qwen/Qwen2.5-7B,prontoqa,12,0.429,0.0006,200
Qwen/Qwen2.5-7B,prontoqa,13,0.464,0.0006,200
Qwen/Qwen2.5-7B,prontoqa,14,0.5,0.0006,200
Qwen/Qwen2.5-7B,prontoqa,15,0.536,0.0006,200
Qwen/Qwen2.5-7B,prontoqa,16,0.571,0.0007,200
Qwen/Qwen2.5-7B,prontoqa,17,0.607,0.0007,200
Qwen/Qwen2.5-7B,prontoqa,18,0.643,0.0008,200
Qwen/Qwen2.5-7B,prontoqa,19,0.679,0.0009,200
Qwen/Qwen2.5-7B,prontoqa,20,0.714,0.001,200
Qwen/Qwen2.5-7B,prontoqa,21,0.75,0.0012,200
Qwen/Qwen2.5-7B,prontoqa,22,0.786,0.0014,200
Qwen/Qwen2.5-7B,prontoqa,23,0.821,0.0018,200
Qwen/Qwen2.5-7B,prontoqa,24,0.857,0.002,200
Qwen/Qwen2.5-7B,prontoqa,25,0.893,0.0024,200
Qwen/Qwen2.5-7B,prontoqa,26,0.929,0.0024,200
Qwen/Qwen2.5-7B,prontoqa,27,0.964,0.0116,200
Qwen/Qwen2.5-7B,prontoqa,28,1.0,0.1292,200
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,0,0.0,0.0682,200
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,1,0.036,0.0439,200
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,2,0.071,0.0474,200
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,3,0.107,0.0528,200
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,4,0.143,0.0014,200
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,5,0.179,0.001,200
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,6,0.214,0.0011,200
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,7,0.25,0.0011,200
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,8,0.286,0.0013,200
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,9,0.321,0.0014,200
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,10,0.357,0.0014,200
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,11,0.393,0.0015,200
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,12,0.429,0.0015,200
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,13,0.464,0.0016,200
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,14,0.5,0.0016,200
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,15,0.536,0.0017,200
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,16,0.571,0.002,200
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,17,0.607,0.0021,200
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,18,0.643,0.0024,200
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,19,0.679,0.0027,200
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,20,0.714,0.0032,200
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,21,0.75,0.0036,200
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,22,0.786,0.0044,200
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,23,0.821,0.0052,200
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,24,0.857,0.0058,200
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,25,0.893,0.0069,200
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,26,0.929,0.0077,200
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,27,0.964,0.0209,200
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,prontoqa,28,1.0,0.1064,200
