model,dataset,layer,token_source,metric,delta_rel,noise_floor,cloud_kind
Qwen/Qwen2.5-7B,prontoqa,-1,control,distance_matrix,0.0,0.0,tree_control
Qwen/Qwen2.5-7B,prontoqa,-1,control,raw,0.1912,0.0018,gaussian_control
Qwen/Qwen2.5-7B,prontoqa,-1,control,raw,0.2019,0.0019,sphere_control
Qwen/Qwen2.5-7B,prontoqa,0,input,raw,0.2431,0.0111,data
Qwen/Qwen2.5-7B,prontoqa,0,input,pca_only,0.2431,0.0111,data
Qwen/Qwen2.5-7B,prontoqa,0,input,per_cloud,0.242,0.0043,data
Qwen/Qwen2.5-7B,prontoqa,0,input,background,0.252,0.0095,data
Qwen/Qwen2.5-7B,prontoqa,0,generated,raw,0.2272,0.0082,data
Qwen/Qwen2.5-7B,prontoqa,0,generated,pca_only,0.2276,0.0083,data
Qwen/Qwen2.5-7B,prontoqa,0,generated,per_cloud,0.1006,0.0033,data
Qwen/Qwen2.5-7B,prontoqa,0,generated,background,0.2386,0.0078,data
Qwen/Qwen2.5-7B,prontoqa,0,thinking,raw,0.2065,0.0086,data
Qwen/Qwen2.5-7B,prontoqa,0,thinking,pca_only,0.2065,0.0086,data
Qwen/Qwen2.5-7B,prontoqa,0,thinking,per_cloud,0.1287,0.0166,data
Qwen/Qwen2.5-7B,prontoqa,0,thinking,background,0.2046,0.0101,data
Qwen/Qwen2.5-7B,prontoqa,0,last,raw,0.0598,0.0118,data
Qwen/Qwen2.5-7B,prontoqa,0,last,pca_only,0.0598,0.0118,data
Qwen/Qwen2.5-7B,prontoqa,0,last,per_cloud,0.0179,0.001,data
Qwen/Qwen2.5-7B,prontoqa,0,last,background,0.0813,0.0145,data
Qwen/Qwen2.5-7B,prontoqa,0,all,raw,0.2335,0.0078,data
Qwen/Qwen2.5-7B,prontoqa,0,all,pca_only,0.2337,0.0078,data
Qwen/Qwen2.5-7B,prontoqa,0,all,per_cloud,0.0996,0.0033,data
Qwen/Qwen2.5-7B,prontoqa,0,all,background,0.24,0.0081,data
Qwen/Qwen2.5-7B,prontoqa,1,input,raw,0.2532,0.0071,data
Qwen/Qwen2.5-7B,prontoqa,1,input,pca_only,0.2535,0.0072,data
Qwen/Qwen2.5-7B,prontoqa,1,input,per_cloud,0.1134,0.0018,data
Qwen/Qwen2.5-7B,prontoqa,1,input,background,0.261,0.0061,data
Qwen/Qwen2.5-7B,prontoqa,1,generated,raw,0.2346,0.0049,data
Qwen/Qwen2.5-7B,prontoqa,1,generated,pca_only,0.236,0.0048,data
Qwen/Qwen2.5-7B,prontoqa,1,generated,per_cloud,0.1025,0.003,data
Qwen/Qwen2.5-7B,prontoqa,1,generated,background,0.2401,0.0039,data
Qwen/Qwen2.5-7B,prontoqa,1,thinking,raw,0.1867,0.0108,data
Qwen/Qwen2.5-7B,prontoqa,1,thinking,pca_only,0.1869,0.0108,data
Qwen/Qwen2.5-7B,prontoqa,1,thinking,per_cloud,0.094,0.0033,data
Qwen/Qwen2.5-7B,prontoqa,1,thinking,background,0.1715,0.0103,data
Qwen/Qwen2.5-7B,prontoqa,1,last,raw,0.0355,0.0033,data
Qwen/Qwen2.5-7B,prontoqa,1,last,pca_only,0.0357,0.0032,data
Qwen/Qwen2.5-7B,prontoqa,1,last,per_cloud,0.0832,0.0042,data
Qwen/Qwen2.5-7B,prontoqa,1,last,background,0.0809,0.0074,data
Qwen/Qwen2.5-7B,prontoqa,1,all,raw,0.2417,0.0051,data
Qwen/Qwen2.5-7B,prontoqa,1,all,pca_only,0.2429,0.0052,data
Qwen/Qwen2.5-7B,prontoqa,1,all,per_cloud,0.1049,0.0029,data
Qwen/Qwen2.5-7B,prontoqa,1,all,background,0.2479,0.004,data
Qwen/Qwen2.5-7B,prontoqa,2,input,raw,0.2587,0.0066,data
Qwen/Qwen2.5-7B,prontoqa,2,input,pca_only,0.2589,0.0067,data
Qwen/Qwen2.5-7B,prontoqa,2,input,per_cloud,0.1166,0.002,data
Qwen/Qwen2.5-7B,prontoqa,2,input,background,0.2692,0.0043,data
Qwen/Qwen2.5-7B,prontoqa,2,generated,raw,0.226,0.0042,data
Qwen/Qwen2.5-7B,prontoqa,2,generated,pca_only,0.2275,0.0043,data
Qwen/Qwen2.5-7B,prontoqa,2,generated,per_cloud,0.1036,0.0033,data
Qwen/Qwen2.5-7B,prontoqa,2,generated,background,0.2334,0.0046,data
Qwen/Qwen2.5-7B,prontoqa,2,thinking,raw,0.1883,0.0107,data
Qwen/Qwen2.5-7B,prontoqa,2,thinking,pca_only,0.1885,0.0106,data
Qwen/Qwen2.5-7B,prontoqa,2,thinking,per_cloud,0.0928,0.0028,data
Qwen/Qwen2.5-7B,prontoqa,2,thinking,background,0.173,0.0107,data
Qwen/Qwen2.5-7B,prontoqa,2,last,raw,0.0553,0.002,data
Qwen/Qwen2.5-7B,prontoqa,2,last,pca_only,0.0554,0.002,data
Qwen/Qwen2.5-7B,prontoqa,2,last,per_cloud,0.0821,0.0027,data
Qwen/Qwen2.5-7B,prontoqa,2,last,background,0.0783,0.0051,data
Qwen/Qwen2.5-7B,prontoqa,2,all,raw,0.2334,0.0047,data
Qwen/Qwen2.5-7B,prontoqa,2,all,pca_only,0.2345,0.0047,data
Qwen/Qwen2.5-7B,prontoqa,2,all,per_cloud,0.1065,0.0026,data
Qwen/Qwen2.5-7B,prontoqa,2,all,background,0.2432,0.0042,data
Qwen/Qwen2.5-7B,prontoqa,3,input,raw,0.2592,0.0046,data
Qwen/Qwen2.5-7B,prontoqa,3,input,pca_only,0.2597,0.0046,data
Qwen/Qwen2.5-7B,prontoqa,3,input,per_cloud,0.1161,0.0019,data
Qwen/Qwen2.5-7B,prontoqa,3,input,background,0.2675,0.0041,data
Qwen/Qwen2.5-7B,prontoqa,3,generated,raw,0.2234,0.0043,data
Qwen/Qwen2.5-7B,prontoqa,3,generated,pca_only,0.2248,0.0043,data
Qwen/Qwen2.5-7B,prontoqa,3,generated,per_cloud,0.1051,0.0027,data
Qwen/Qwen2.5-7B,prontoqa,3,generated,background,0.2322,0.0039,data
Qwen/Qwen2.5-7B,prontoqa,3,thinking,raw,0.1788,0.0103,data
Qwen/Qwen2.5-7B,prontoqa,3,thinking,pca_only,0.1789,0.0103,data
Qwen/Qwen2.5-7B,prontoqa,3,thinking,per_cloud,0.0911,0.0026,data
Qwen/Qwen2.5-7B,prontoqa,3,thinking,background,0.1567,0.0082,data
Qwen/Qwen2.5-7B,prontoqa,3,last,raw,0.0497,0.0025,data
Qwen/Qwen2.5-7B,prontoqa,3,last,pca_only,0.0497,0.0025,data
Qwen/Qwen2.5-7B,prontoqa,3,last,per_cloud,0.0821,0.0022,data
Qwen/Qwen2.5-7B,prontoqa,3,last,background,0.0865,0.0067,data
Qwen/Qwen2.5-7B,prontoqa,3,all,raw,0.235,0.0047,data
Qwen/Qwen2.5-7B,prontoqa,3,all,pca_only,0.2363,0.0047,data
Qwen/Qwen2.5-7B,prontoqa,3,all,per_cloud,0.1087,0.0024,data
Qwen/Qwen2.5-7B,prontoqa,3,all,background,0.2452,0.0038,data
Qwen/Qwen2.5-7B,prontoqa,4,input,raw,0.2536,0.0036,data
Qwen/Qwen2.5-7B,prontoqa,4,input,pca_only,0.2541,0.0036,data
Qwen/Qwen2.5-7B,prontoqa,4,input,per_cloud,0.1176,0.0015,data
Qwen/Qwen2.5-7B,prontoqa,4,input,background,0.2642,0.0028,data
Qwen/Qwen2.5-7B,prontoqa,4,generated,raw,0.22,0.0048,data
Qwen/Qwen2.5-7B,prontoqa,4,generated,pca_only,0.2217,0.0049,data
Qwen/Qwen2.5-7B,prontoqa,4,generated,per_cloud,0.104,0.0029,data
Qwen/Qwen2.5-7B,prontoqa,4,generated,background,0.2231,0.0043,data
Qwen/Qwen2.5-7B,prontoqa,4,thinking,raw,0.1798,0.0096,data
Qwen/Qwen2.5-7B,prontoqa,4,thinking,pca_only,0.1801,0.0096,data
Qwen/Qwen2.5-7B,prontoqa,4,thinking,per_cloud,0.0897,0.0023,data
Qwen/Qwen2.5-7B,prontoqa,4,thinking,background,0.162,0.0081,data
Qwen/Qwen2.5-7B,prontoqa,4,last,raw,0.0759,0.004,data
Qwen/Qwen2.5-7B,prontoqa,4,last,pca_only,0.0759,0.0039,data
Qwen/Qwen2.5-7B,prontoqa,4,last,per_cloud,0.0817,0.0025,data
Qwen/Qwen2.5-7B,prontoqa,4,last,background,0.1094,0.0079,data
Qwen/Qwen2.5-7B,prontoqa,4,all,raw,0.2309,0.0048,data
Qwen/Qwen2.5-7B,prontoqa,4,all,pca_only,0.2318,0.0049,data
Qwen/Qwen2.5-7B,prontoqa,4,all,per_cloud,0.1088,0.0025,data
Qwen/Qwen2.5-7B,prontoqa,4,all,background,0.2371,0.0041,data
Qwen/Qwen2.5-7B,prontoqa,5,input,raw,0.2497,0.0037,data
Qwen/Qwen2.5-7B,prontoqa,5,input,pca_only,0.2505,0.0037,data
Qwen/Qwen2.5-7B,prontoqa,5,input,per_cloud,0.1177,0.0019,data
Qwen/Qwen2.5-7B,prontoqa,5,input,background,0.2627,0.0039,data
Qwen/Qwen2.5-7B,prontoqa,5,generated,raw,0.2197,0.0046,data
Qwen/Qwen2.5-7B,prontoqa,5,generated,pca_only,0.2214,0.0047,data
Qwen/Qwen2.5-7B,prontoqa,5,generated,per_cloud,0.1047,0.0034,data
Qwen/Qwen2.5-7B,prontoqa,5,generated,background,0.2209,0.004,data
Qwen/Qwen2.5-7B,prontoqa,5,thinking,raw,0.1786,0.0095,data
Qwen/Qwen2.5-7B,prontoqa,5,thinking,pca_only,0.1789,0.0096,data
Qwen/Qwen2.5-7B,prontoqa,5,thinking,per_cloud,0.0869,0.0024,data
Qwen/Qwen2.5-7B,prontoqa,5,thinking,background,0.1606,0.0083,data
Qwen/Qwen2.5-7B,prontoqa,5,last,raw,0.0841,0.004,data
Qwen/Qwen2.5-7B,prontoqa,5,last,pca_only,0.0843,0.004,data
Qwen/Qwen2.5-7B,prontoqa,5,last,per_cloud,0.081,0.0028,data
Qwen/Qwen2.5-7B,prontoqa,5,last,background,0.1111,0.0074,data
Qwen/Qwen2.5-7B,prontoqa,5,all,raw,0.2275,0.0046,data
Qwen/Qwen2.5-7B,prontoqa,5,all,pca_only,0.2291,0.0047,data
Qwen/Qwen2.5-7B,prontoqa,5,all,per_cloud,0.1085,0.0026,data
Qwen/Qwen2.5-7B,prontoqa,5,all,background,0.2323,0.0043,data
Qwen/Qwen2.5-7B,prontoqa,6,input,raw,0.2484,0.0041,data
Qwen/Qwen2.5-7B,prontoqa,6,input,pca_only,0.2496,0.0041,data
Qwen/Qwen2.5-7B,prontoqa,6,input,per_cloud,0.1149,0.002,data
Qwen/Qwen2.5-7B,prontoqa,6,input,background,0.259,0.0036,data
Qwen/Qwen2.5-7B,prontoqa,6,generated,raw,0.2116,0.004,data
Qwen/Qwen2.5-7B,prontoqa,6,generated,pca_only,0.2132,0.0041,data
Qwen/Qwen2.5-7B,prontoqa,6,generated,per_cloud,0.1041,0.0029,data
Qwen/Qwen2.5-7B,prontoqa,6,generated,background,0.212,0.0041,data
Qwen/Qwen2.5-7B,prontoqa,6,thinking,raw,0.1814,0.0095,data
